\datem\exp_data\captex\captex4.txt           
year mn dy  shr  dur   lat     lon    pmch  stn
1983 10 14 1800 0300 40.38  -80.63      .0  306
1983 10 14 1800 0300 40.77  -80.75      .0  308
1983 10 14 1800 0300 40.92  -81.43      .0  310
1983 10 14 1800 0300 41.30  -81.15      .0  312
1983 10 14 1800 0300 41.42  -81.87      .0  314
1983 10 14 1800 0300 41.27  -82.62      .0  318
1983 10 14 1800 0300 41.33  -83.12      .0  320
1983 10 14 2100 0300 40.38  -80.63      .0  306
1983 10 14 2100 0300 40.92  -81.43 14586.0  310
1983 10 14 2100 0300 41.42  -81.87      .0  314
1983 10 14 2100 0300 41.27  -82.62      .0  318
1983 10 14 2100 0300 41.33  -83.12      .0  320
1983 10 14 2100 0300 40.43  -79.15      .0  404
1983 10 14 2100 0300 40.82  -79.53      .0  406
1983 10 14 2100 0300 42.08  -80.18      .0  412
1983 10 14 2100 0300 42.67  -81.15      .0  454
1983 10 14 2100 0300 42.70  -82.35      .0  456
1983 10 14 2100 0600 40.20  -78.25    31.2  502
1983 10 14 2100 0600 40.67  -78.23      .0  504
1983 10 14 2100 0600 41.30  -78.48      .0  506
1983 10 14 2100 0600 41.80  -78.63      .0  508
1983 10 14 2100 0600 42.25  -78.80      .0  510
1983 10 14 2100 0600 42.48  -78.93      .0  512
1983 10 14 2100 0600 43.52  -79.92      .0  554
1983 10 14 2100 0600 43.98  -80.75    15.6  556
1983 10 14 2100 0600 39.92  -76.75      .0  602
1983 10 14 2100 0600 40.48  -77.13      .0  604
1983 10 14 2100 0600 41.25  -76.92      .0  606
1983 10 14 2100 0600 41.98  -77.57      .0  608
1983 10 14 2100 0600 42.88  -78.03      .0  612
1983 10 14 2100 0600 43.03  -78.18      .0  614
1983 10 14 2100 0600 43.92  -78.67      .0  652
1983 10 14 2100 0600 44.62  -79.53      .0  654
1983 10 14 2100 0600 40.37  -75.93      .0  702
1983 10 14 2100 0300 40.78  -74.67      .0  703
1983 10 14 2100 0600 42.45  -76.45      .0  708
1983 10 14 2100 0600 43.98  -77.22      .0  752
1983 10 14 2100 0600 44.28  -77.78      .0  754
1983 10 14 2100 0600 44.93  -78.72    15.6  756
1983 10 14 2100 0600 39.93  -74.70      .0  802
1983 10 14 2100 0600 40.45  -74.80      .0  803
1983 10 14 2100 0600 40.90  -74.60      .0  804
1983 10 14 2100 0600 41.30  -74.67      .0  805
1983 10 14 2100 0600 41.63  -74.80      .0  806
1983 10 14 2100 0600 40.67  -73.52      .0  902
1983 10 14 2100 0600 40.85  -73.97      .0  903
1983 10 15 0000 0300 40.38  -80.63      .0  306
1983 10 15 0000 0300 40.77  -80.75   514.8  308
1983 10 15 0000 0300 40.92  -81.43 21060.0  310
1983 10 15 0000 0300 41.30  -81.15      .0  312
1983 10 15 0000 0300 41.42  -81.87      .0  314
1983 10 15 0000 0300 41.27  -82.62      .0  318
1983 10 15 0000 0300 41.33  -83.12      .0  320
1983 10 15 0000 0300 40.43  -79.15      .0  404
1983 10 15 0000 0300 40.82  -79.53      .0  406
1983 10 15 0000 0300 42.08  -80.18      .0  412
1983 10 15 0000 0300 42.67  -81.15      .0  454
1983 10 15 0000 0300 42.70  -82.35      .0  456
1983 10 15 0000 0300 40.78  -74.67      .0  703
1983 10 15 0300 0300 40.38  -80.63      .0  306
1983 10 15 0300 0300 40.77  -80.75   390.0  308
1983 10 15 0300 0300 40.92  -81.43  3868.8  310
1983 10 15 0300 0300 41.30  -81.15      .0  312
1983 10 15 0300 0300 41.42  -81.87      .0  314
1983 10 15 0300 0300 41.27  -82.62      .0  318
1983 10 15 0300 0300 41.33  -83.12      .0  320
1983 10 15 0300 0300 40.43  -79.15      .0  404
1983 10 15 0300 0300 40.82  -79.53    31.2  406
1983 10 15 0300 0300 42.08  -80.18      .0  412
1983 10 15 0300 0300 42.67  -81.15      .0  454
1983 10 15 0300 0300 42.70  -82.35      .0  456
1983 10 15 0300 0600 40.20  -78.25    93.6  502
1983 10 15 0300 0600 40.67  -78.23      .0  504
1983 10 15 0300 0600 41.30  -78.48  3088.8  506
1983 10 15 0300 0600 41.80  -78.63      .0  508
1983 10 15 0300 0600 42.25  -78.80      .0  510
1983 10 15 0300 0600 42.48  -78.93      .0  512
1983 10 15 0300 0600 43.52  -79.92      .0  554
1983 10 15 0300 0600 43.98  -80.75      .0  556
1983 10 15 0300 0600 39.92  -76.75   327.6  602
1983 10 15 0300 0600 40.48  -77.13  2168.4  604
1983 10 15 0300 0600 41.25  -76.92   171.6  606
1983 10 15 0300 0600 41.98  -77.57      .0  608
1983 10 15 0300 0600 42.88  -78.03    15.6  612
1983 10 15 0300 0600 43.03  -78.18      .0  614
1983 10 15 0300 0600 43.92  -78.67      .0  652
1983 10 15 0300 0600 40.37  -75.93  1404.0  702
1983 10 15 0300 0300 40.78  -74.67      .0  703
1983 10 15 0300 0600 42.45  -76.45      .0  708
1983 10 15 0300 0600 43.98  -77.22      .0  752
1983 10 15 0300 0300 44.68  -77.15      .0  753
1983 10 15 0300 0600 44.28  -77.78      .0  754
1983 10 15 0300 0600 44.93  -78.72    15.6  756
1983 10 15 0300 0600 39.93  -74.70      .0  802
1983 10 15 0300 0600 40.45  -74.80   280.8  803
1983 10 15 0300 0600 40.90  -74.60    62.4  804
1983 10 15 0300 0600 41.30  -74.67      .0  805
1983 10 15 0300 0600 41.63  -74.80      .0  806
1983 10 15 0300 0600 42.92  -75.12      .0  809
1983 10 15 0300 0600 43.23  -75.40      .0  810
1983 10 15 0300 0600 43.58  -75.52    15.6  811
1983 10 15 0300 0600 40.67  -73.52      .0  902
1983 10 15 0300 0600 40.85  -73.97    31.2  903
1983 10 15 0300 0600 43.05  -74.20      .0  908
1983 10 15 0300 0600 43.97  -74.10      .0  910
1983 10 15 0300 0600 44.80  -75.00    15.6  912
1983 10 15 0300 0600 45.55  -75.52      .0  952
