Yr Mo Da Hr dur Lat Lon Calc Site
1983 9 25 1800 300 40.38 -80.63 0.0 306
1983 9 25 1800 300 40.77 -80.75 0.0 308
1983 9 25 1800 300 40.92 -81.43 0.0 310
1983 9 25 1800 300 41.3 -81.15 0.0 312
1983 9 25 1800 300 41.42 -81.87 0.0 314
1983 9 25 1800 300 41.3 -82.22 0.0 316
1983 9 25 1800 300 41.27 -82.62 0.0 318
1983 9 25 1800 300 41.33 -83.12 0.0 320
1983 9 25 1800 600 40.2 -78.25 0.0 502
1983 9 25 2100 300 40.38 -80.63 0.0 306
1983 9 25 2100 300 40.77 -80.75 0.0 308
1983 9 25 2100 300 40.92 -81.43 0.0 310
1983 9 25 2100 300 41.3 -81.15 0.0 312
1983 9 25 2100 300 41.42 -81.87 0.0 314
1983 9 25 2100 300 41.3 -82.22 0.0 316
1983 9 25 2100 300 41.27 -82.62 0.0 318
1983 9 25 2100 300 41.33 -83.12 0.0 320
1983 9 25 2100 600 40.0 -79.08 0.0 402
1983 9 25 2100 600 40.43 -79.15 0.0 404
1983 9 25 2100 600 40.82 -79.53 0.0 406
1983 9 25 2100 600 41.2 -79.43 0.0 408
1983 9 25 2100 600 41.63 -79.7 0.0 410
1983 9 25 2100 600 42.08 -80.18 0.0 412
1983 9 25 2100 600 42.6 -80.5 0.0 452
1983 9 25 2100 600 42.67 -81.15 0.0 454
1983 9 25 2100 600 42.7 -82.35 0.0 456
1983 9 25 2100 600 40.67 -78.23 0.0 504
1983 9 25 2100 600 41.8 -78.63 0.0 508
1983 9 25 2100 600 42.48 -78.93 0.0 512
1983 9 25 2100 600 43.52 -79.92 0.0 554
1983 9 25 2100 600 43.98 -80.75 0.0 556
1983 9 26 0 300 40.38 -80.63 0.0 306
1983 9 26 0 300 40.77 -80.75 0.0 308
1983 9 26 0 300 40.92 -81.43 0.0 310
1983 9 26 0 300 41.3 -81.15 0.0 312
1983 9 26 0 300 41.42 -81.87 11.599112890651618 314
1983 9 26 0 300 41.3 -82.22 3.2771779423941503 316
1983 9 26 0 300 41.27 -82.62 57.69566560506063 318
1983 9 26 0 300 41.33 -83.12 29.193722718024915 320
1983 9 26 0 600 40.2 -78.25 0.0 502
1983 9 26 300 300 40.38 -80.63 0.0 306
1983 9 26 300 300 40.77 -80.75 0.0 308
1983 9 26 300 300 40.92 -81.43 1.9234504541527586 310
1983 9 26 300 300 41.3 -81.15 51.846794468391685 312
1983 9 26 300 300 41.42 -81.87 953.4087229099682 314
1983 9 26 300 300 41.3 -82.22 1459.3674409537184 316
1983 9 26 300 300 41.27 -82.62 1471.1527105185562 318
1983 9 26 300 300 41.33 -83.12 135.31003592178865 320
1983 9 26 300 600 40.0 -79.08 0.0 402
1983 9 26 300 600 40.43 -79.15 0.0 404
1983 9 26 300 600 40.82 -79.53 0.0 406
1983 9 26 300 600 41.2 -79.43 0.0 408
1983 9 26 300 600 42.08 -80.18 336.1201481251567 412
1983 9 26 300 600 42.6 -80.5 136.63166158624145 452
1983 9 26 300 600 42.67 -81.15 58.00565487247475 454
1983 9 26 300 600 42.7 -82.35 0.0 456
1983 9 26 300 600 40.67 -78.23 0.0 504
1983 9 26 300 600 41.8 -78.63 0.0 508
1983 9 26 300 600 42.48 -78.93 0.0 512
1983 9 26 300 600 43.18 -79.4 0.0 552
1983 9 26 300 600 43.52 -79.92 0.0 554
1983 9 26 300 600 43.98 -80.75 0.0 556
1983 9 26 300 600 39.92 -76.75 0.0 602
1983 9 26 300 600 40.48 -77.13 0.0 604
1983 9 26 300 600 41.98 -77.57 0.0 608
1983 9 26 300 600 42.88 -78.03 0.0 612
1983 9 26 300 600 43.03 -78.18 0.0 614
1983 9 26 300 600 43.92 -78.67 0.0 652
1983 9 26 300 600 44.23 -78.37 0.0 653
1983 9 26 300 600 44.62 -79.53 0.0 654
1983 9 26 600 300 40.38 -80.63 0.0 306
1983 9 26 600 300 40.77 -80.75 1.7450732042350503 308
1983 9 26 600 300 40.92 -81.43 312.61576494644135 310
1983 9 26 600 300 41.3 -81.15 818.9673107345855 312
1983 9 26 600 300 41.42 -81.87 3305.4253583469913 314
1983 9 26 600 300 41.3 -82.22 3521.2383563877124 316
1983 9 26 600 300 41.27 -82.62 1350.9546288088704 318
1983 9 26 600 300 41.33 -83.12 34.92056959221386 320
1983 9 26 600 600 40.2 -78.25 0.0 502
1983 9 26 900 300 40.38 -80.63 0.0 306
1983 9 26 900 300 40.77 -80.75 65.01666018488963 308
1983 9 26 900 300 40.92 -81.43 2116.419303152468 310
1983 9 26 900 300 41.3 -81.15 3191.9063962503524 312
1983 9 26 900 300 41.42 -81.87 1871.2014488750215 314
1983 9 26 900 300 41.3 -82.22 1373.9674321052387 316
1983 9 26 900 300 41.27 -82.62 446.9533069924861 318
1983 9 26 900 300 41.33 -83.12 14.98339479810332 320
1983 9 26 900 600 40.0 -79.08 0.0 402
1983 9 26 900 600 40.43 -79.15 0.0 404
1983 9 26 900 600 40.82 -79.53 1.9324583314041723 406
1983 9 26 900 600 41.2 -79.43 24.897323007215164 408
1983 9 26 900 600 41.63 -79.7 425.3136648692372 410
1983 9 26 900 600 42.08 -80.18 1409.6603795424317 412
1983 9 26 900 600 42.6 -80.5 436.6961088230032 452
1983 9 26 900 600 42.67 -81.15 4.544649277238127 454
1983 9 26 900 600 42.7 -82.35 0.0 456
1983 9 26 900 600 40.67 -78.23 0.0 504
1983 9 26 900 600 41.8 -78.63 17.98020165399354 508
1983 9 26 900 600 42.48 -78.93 313.0451500753334 512
1983 9 26 900 600 43.18 -79.4 189.02856303039425 552
1983 9 26 900 600 43.52 -79.92 3.2808475302285682 554
1983 9 26 900 600 43.98 -80.75 0.0 556
1983 9 26 900 600 39.92 -76.75 0.0 602
1983 9 26 900 600 40.48 -77.13 0.0 604
1983 9 26 900 600 41.98 -77.57 4.192747937223913 608
1983 9 26 900 600 42.88 -78.03 72.20724183249712 612
1983 9 26 900 600 43.03 -78.18 126.07924406341606 614
1983 9 26 900 600 43.92 -78.67 1.5592104781315972 652
1983 9 26 900 600 44.23 -78.37 0.0 653
1983 9 26 900 600 44.62 -79.53 0.0 654
1983 9 26 900 600 41.02 -75.9 0.0 704
1983 9 26 900 600 41.83 -75.87 0.0 706
1983 9 26 900 600 42.45 -76.45 2.9047225342067846 708
1983 9 26 900 600 43.98 -77.22 0.0 752
1983 9 26 900 600 44.68 -77.15 0.0 753
1983 9 26 900 600 44.28 -77.78 0.0 754
1983 9 26 900 600 39.93 -74.7 0.0 802
1983 9 26 900 600 40.45 -74.8 0.0 803
1983 9 26 900 600 40.9 -74.6 0.0 804
1983 9 26 900 600 41.3 -74.67 0.0 805
1983 9 26 900 600 41.63 -74.8 0.0 806
1983 9 26 900 600 42.08 -74.97 0.0 807
1983 9 26 900 600 42.47 -75.07 0.0 808
1983 9 26 900 600 43.23 -75.4 0.0 810
1983 9 26 900 600 43.58 -75.52 0.0 811
1983 9 26 900 600 44.0 -76.02 0.0 812
1983 9 26 900 600 44.48 -76.03 0.0 852
1983 9 26 1200 600 40.2 -78.25 0.0 502
1983 9 26 1200 600 43.07 -76.83 80.24727317462184 710
1983 9 26 1500 600 40.0 -79.08 0.0 402
1983 9 26 1500 600 40.43 -79.15 1.285897791935342 404
1983 9 26 1500 600 40.82 -79.53 58.05418807023667 406
1983 9 26 1500 600 41.2 -79.43 310.2211266759487 408
1983 9 26 1500 600 41.63 -79.7 673.5023006161881 410
1983 9 26 1500 600 42.08 -80.18 294.28954046328886 412
1983 9 26 1500 600 42.6 -80.5 5.54589732216686 452
1983 9 26 1500 600 42.67 -81.15 0.0 454
1983 9 26 1500 600 42.7 -82.35 0.0 456
1983 9 26 1500 600 40.67 -78.23 2.971038690435684 504
1983 9 26 1500 600 41.8 -78.63 610.513028386093 508
1983 9 26 1500 600 42.25 -78.8 694.3540191415552 510
1983 9 26 1500 600 42.48 -78.93 688.3998904205747 512
1983 9 26 1500 600 43.18 -79.4 31.252420578715714 552
1983 9 26 1500 600 43.52 -79.92 0.0 554
1983 9 26 1500 600 43.98 -80.75 0.0 556
1983 9 26 1500 600 39.92 -76.75 0.0 602
1983 9 26 1500 600 40.48 -77.13 2.7536345720721505 604
1983 9 26 1500 600 41.98 -77.57 424.4137294055723 608
1983 9 26 1500 600 42.88 -78.03 742.3724390047954 612
1983 9 26 1500 600 43.03 -78.18 631.5543809975592 614
1983 9 26 1500 600 43.92 -78.67 5.097218521972628 652
1983 9 26 1500 600 44.23 -78.37 0.0 653
1983 9 26 1500 600 44.62 -79.53 0.0 654
1983 9 26 1500 600 41.02 -75.9 7.333796361030261 704
1983 9 26 1500 600 41.83 -75.87 138.03621316854304 706
1983 9 26 1500 600 42.45 -76.45 265.9876152030928 708
1983 9 26 1500 600 43.98 -77.22 44.66481963407084 752
1983 9 26 1500 600 44.68 -77.15 0.0 753
1983 9 26 1500 600 44.28 -77.78 1.9011999336842287 754
1983 9 26 1500 600 39.93 -74.7 0.0 802
1983 9 26 1500 600 40.45 -74.8 0.0 803
1983 9 26 1500 600 40.9 -74.6 0.0 804
1983 9 26 1500 600 41.3 -74.67 1.1141376100081257 805
1983 9 26 1500 600 41.63 -74.8 15.454604929319586 806
1983 9 26 1500 600 42.08 -74.97 24.235273320845497 807
1983 9 26 1500 600 42.47 -75.07 49.077007482716354 808
1983 9 26 1500 600 43.23 -75.4 30.973913374449104 810
1983 9 26 1500 600 43.58 -75.52 8.3872474425556 811
1983 9 26 1500 600 44.0 -76.02 11.779774646754749 812
1983 9 26 1500 600 44.48 -76.03 1.2941676276896616 852
1983 9 26 1500 600 40.67 -73.52 0.0 902
1983 9 26 1500 600 43.05 -74.2 7.751822720911314 908
1983 9 26 1500 600 44.8 -75.0 0.0 912
1983 9 26 1500 600 45.55 -75.52 0.0 952
1983 9 26 1800 600 40.2 -78.25 0.0 502
1983 9 26 1800 600 43.07 -76.83 604.5902497360281 710
1983 9 26 2100 600 40.0 -79.08 0.0 402
1983 9 26 2100 600 40.43 -79.15 1.9414091936789195 404
1983 9 26 2100 600 40.82 -79.53 14.893486668921392 406
1983 9 26 2100 600 41.2 -79.43 56.60840490207724 408
1983 9 26 2100 600 41.63 -79.7 93.9881453652283 410
1983 9 26 2100 600 42.08 -80.18 10.211662594471845 412
1983 9 26 2100 600 42.6 -80.5 0.0 452
1983 9 26 2100 600 42.67 -81.15 0.0 454
1983 9 26 2100 600 42.7 -82.35 0.0 456
1983 9 26 2100 600 40.67 -78.23 13.083128333096536 504
1983 9 26 2100 600 41.8 -78.63 285.28492319324937 508
1983 9 26 2100 600 42.25 -78.8 74.30701112214567 510
1983 9 26 2100 600 42.48 -78.93 19.180924151222204 512
1983 9 26 2100 600 43.18 -79.4 0.0 552
1983 9 26 2100 600 43.52 -79.92 0.0 554
1983 9 26 2100 600 43.98 -80.75 0.0 556
1983 9 26 2100 600 39.92 -76.75 1.6153420648880137 602
1983 9 26 2100 600 40.48 -77.13 3.534367933205498 604
1983 9 26 2100 600 41.98 -77.57 727.0032009817269 608
1983 9 26 2100 600 42.88 -78.03 196.33757314388325 612
1983 9 26 2100 600 43.03 -78.18 99.96548411832431 614
1983 9 26 2100 600 43.92 -78.67 0.0 652
1983 9 26 2100 600 44.23 -78.37 0.0 653
1983 9 26 2100 600 44.62 -79.53 0.0 654
1983 9 26 2100 600 40.37 -75.93 8.139732234265614 702
1983 9 26 2100 600 40.78 -74.67 0.0 703
1983 9 26 2100 600 41.02 -75.9 24.974383552980733 704
1983 9 26 2100 600 41.83 -75.87 215.4728084318125 706
1983 9 26 2100 600 42.45 -76.45 758.5577197629476 708
1983 9 26 2100 600 43.98 -77.22 180.17903974307401 752
1983 9 26 2100 600 44.28 -77.78 7.454148956518782 754
1983 9 26 2100 600 39.93 -74.7 0.0 802
1983 9 26 2100 600 40.45 -74.8 0.0 803
1983 9 26 2100 600 40.9 -74.6 0.0 804
1983 9 26 2100 600 41.3 -74.67 27.25403921422025 805
1983 9 26 2100 600 41.63 -74.8 101.2618840818778 806
1983 9 26 2100 600 42.08 -74.97 126.31803159401049 807
1983 9 26 2100 600 42.47 -75.07 244.2458202721902 808
1983 9 26 2100 600 43.23 -75.4 423.4376155111181 810
1983 9 26 2100 600 43.58 -75.52 125.85940493308732 811
1983 9 26 2100 600 44.0 -76.02 233.60851674663962 812
1983 9 26 2100 600 44.48 -76.03 105.9259651336854 852
1983 9 26 2100 600 40.67 -73.52 0.0 902
1983 9 26 2100 600 41.27 -73.8 4.424385400091349 904
1983 9 26 2100 600 43.05 -74.2 229.535348778108 908
1983 9 26 2100 600 43.97 -74.1 30.16054562038822 910
1983 9 26 2100 600 44.8 -75.0 47.41724504813817 912
1983 9 26 2100 600 45.55 -75.52 3.75237327639876 952
1983 9 26 2100 600 41.1 -72.37 0.0 2
1983 9 26 2100 600 43.03 -72.8 10.972036339647783 6
1983 9 26 2100 600 43.95 -73.22 29.051872136792458 8
1983 9 26 2100 600 44.9 -73.8 5.94846948758817 10
1983 9 27 0 600 40.2 -78.25 2.611682969063485 502
1983 9 27 0 600 43.07 -76.83 1824.609612278235 710
1983 9 27 300 600 40.0 -79.08 0.0 402
1983 9 27 300 600 40.43 -79.15 0.0 404
1983 9 27 300 600 40.82 -79.53 1.0071454572738543 406
1983 9 27 300 600 41.2 -79.43 5.62392457128313 408
1983 9 27 300 600 41.63 -79.7 8.367127763993679 410
1983 9 27 300 600 42.08 -80.18 1.2783161693761382 412
1983 9 27 300 600 42.6 -80.5 0.0 452
1983 9 27 300 600 42.67 -81.15 0.0 454
1983 9 27 300 600 42.7 -82.35 0.0 456
1983 9 27 300 600 40.67 -78.23 16.626645972366084 504
1983 9 27 300 600 41.8 -78.63 119.1879936695647 508
1983 9 27 300 600 42.25 -78.8 79.9127730877301 510
1983 9 27 300 600 42.48 -78.93 45.904309429538024 512
1983 9 27 300 600 43.18 -79.4 1.5427022538344939 552
1983 9 27 300 600 43.52 -79.92 0.0 554
1983 9 27 300 600 43.98 -80.75 0.0 556
1983 9 27 300 600 39.92 -76.75 4.28748676651343 602
1983 9 27 300 600 40.48 -77.13 66.6683795738306 604
1983 9 27 300 600 41.98 -77.57 517.1699272771448 608
1983 9 27 300 600 42.88 -78.03 28.869943721595064 612
1983 9 27 300 600 43.03 -78.18 16.209654104490465 614
1983 9 27 300 600 43.92 -78.67 0.0 652
1983 9 27 300 600 44.23 -78.37 0.0 653
1983 9 27 300 600 44.62 -79.53 0.0 654
1983 9 27 300 600 40.37 -75.93 12.960990158159662 702
1983 9 27 300 600 40.78 -74.67 20.264816878493505 703
1983 9 27 300 600 41.02 -75.9 117.13005337270492 704
1983 9 27 300 600 41.83 -75.87 437.96208059746016 706
1983 9 27 300 600 42.45 -76.45 1531.0051736024545 708
1983 9 27 300 600 43.98 -77.22 56.85013837155105 752
1983 9 27 300 600 44.28 -77.78 2.055482924270259 754
1983 9 27 300 600 39.93 -74.7 1.4863695314808152 802
1983 9 27 300 600 40.45 -74.8 3.3602543646152045 803
1983 9 27 300 600 40.9 -74.6 35.193480222307066 804
1983 9 27 300 600 41.3 -74.67 194.9018038047237 805
1983 9 27 300 600 41.63 -74.8 265.7059109090898 806
1983 9 27 300 600 42.08 -74.97 121.44252858637294 807
1983 9 27 300 600 42.47 -75.07 220.64735296059897 808
1983 9 27 300 600 43.23 -75.4 1080.1994846461532 810
1983 9 27 300 600 43.58 -75.52 175.17930564895167 811
1983 9 27 300 600 44.48 -76.03 317.66662595736983 852
1983 9 27 300 600 40.67 -73.52 45.518309398027334 902
1983 9 27 300 600 41.27 -73.8 44.36833405308861 904
1983 9 27 300 600 43.05 -74.2 1055.8672012616612 908
1983 9 27 300 600 43.97 -74.1 136.49698653744272 910
1983 9 27 300 600 44.8 -75.0 351.01903872772556 912
1983 9 27 300 600 45.55 -75.52 21.316621925192575 952
1983 9 27 300 600 41.1 -72.37 86.83642545301147 2
1983 9 27 300 600 43.03 -72.8 74.93587146019085 6
1983 9 27 300 600 43.95 -73.22 311.0279688125037 8
1983 9 27 300 600 44.9 -73.8 98.08106410209946 10
1983 9 27 300 600 45.98 -74.0 12.838103742366181 52
1983 9 27 300 600 41.73 -71.43 39.22471288213184 102
1983 9 27 300 600 44.4 -71.18 10.668911849679887 107
1983 9 27 300 600 44.93 -72.2 6.209072243993724 108
1983 9 27 300 600 46.07 -72.58 3.8748067714094856 152
1983 9 27 600 600 43.07 -76.83 604.3894541126521 710
1983 9 27 900 600 42.25 -78.8 4.081935922118622 510
1983 9 27 900 600 43.18 -79.4 0.0 552
1983 9 27 900 600 39.92 -76.75 204.16918970146733 602
1983 9 27 900 600 40.48 -77.13 318.87963796627355 604
1983 9 27 900 600 41.98 -77.57 52.09135602391889 608
1983 9 27 900 600 42.88 -78.03 28.4750705326458 612
1983 9 27 900 600 43.03 -78.18 15.073058091591722 614
1983 9 27 900 600 43.92 -78.67 0.0 652
1983 9 27 900 600 44.23 -78.37 0.0 653
1983 9 27 900 600 44.62 -79.53 0.0 654
1983 9 27 900 600 40.37 -75.93 562.6340164107189 702
1983 9 27 900 600 40.78 -74.67 791.5325727206579 703
1983 9 27 900 600 41.02 -75.9 664.1553206196494 704
1983 9 27 900 600 41.83 -75.87 651.8703981598213 706
1983 9 27 900 600 42.45 -76.45 578.40057621722 708
1983 9 27 900 600 43.98 -77.22 2.103087962341058 752
1983 9 27 900 600 44.28 -77.78 0.0 754
1983 9 27 900 600 39.93 -74.7 81.946433079717 802
1983 9 27 900 600 40.45 -74.8 497.696535045135 803
1983 9 27 900 600 40.9 -74.6 842.9651120087923 804
1983 9 27 900 600 41.3 -74.67 846.4418792840257 805
1983 9 27 900 600 41.63 -74.8 547.0855574319286 806
1983 9 27 900 600 42.08 -74.97 218.5007367833585 807
1983 9 27 900 600 42.47 -75.07 242.5224263301081 808
1983 9 27 900 600 43.23 -75.4 415.58572480996486 810
1983 9 27 900 600 43.58 -75.52 106.12968859709959 811
1983 9 27 900 600 44.48 -76.03 23.698239170152657 852
1983 9 27 900 600 40.67 -73.52 207.15805567924556 902
1983 9 27 900 600 41.27 -73.8 1130.571321595664 904
1983 9 27 900 600 43.05 -74.2 821.5194575445006 908
1983 9 27 900 600 43.97 -74.1 74.38792079740006 910
1983 9 27 900 600 44.8 -75.0 97.7734416188309 912
1983 9 27 900 600 45.55 -75.52 3.728627560198956 952
1983 9 27 900 600 41.1 -72.37 263.9526780750263 2
1983 9 27 900 600 43.03 -72.8 272.39011499283384 6
1983 9 27 900 600 43.95 -73.22 620.5712136555651 8
1983 9 27 900 600 44.9 -73.8 79.29590154914032 10
1983 9 27 900 600 45.98 -74.0 5.847608568827922 52
1983 9 27 900 600 41.73 -71.43 300.2522391783576 102
1983 9 27 900 600 44.4 -71.18 42.389595441983104 107
1983 9 27 900 600 44.93 -72.2 19.88214379378469 108
1983 9 27 900 600 46.07 -72.58 14.736472282335475 152
1983 9 27 1200 600 43.07 -76.83 31.536868018538485 710
1983 9 27 1500 600 42.25 -78.8 0.0 510
1983 9 27 1500 600 40.37 -75.93 169.7708660710542 702
1983 9 27 1500 600 40.78 -74.67 146.33809160182665 703
1983 9 27 1500 600 41.02 -75.9 36.0372927462267 704
1983 9 27 1500 600 41.83 -75.87 37.899091129105216 706
1983 9 27 1500 600 42.45 -76.45 5.089571332674873 708
1983 9 27 1500 600 43.98 -77.22 0.0 752
1983 9 27 1500 600 44.28 -77.78 0.0 754
1983 9 27 1500 600 39.93 -74.7 247.19359872437076 802
1983 9 27 1500 600 40.45 -74.8 238.1839333395266 803
1983 9 27 1500 600 40.9 -74.6 119.41010499548298 804
1983 9 27 1500 600 41.3 -74.67 52.34286962453484 805
1983 9 27 1500 600 41.63 -74.8 40.63736784621184 806
1983 9 27 1500 600 42.08 -74.97 32.78600874208929 807
1983 9 27 1500 600 42.47 -75.07 23.508469559178664 808
1983 9 27 1500 600 43.23 -75.4 6.397971723804812 810
1983 9 27 1500 600 43.58 -75.52 1.2643323744119923 811
1983 9 27 1500 600 44.48 -76.03 0.0 852
1983 9 27 1500 600 40.67 -73.52 308.74552018600644 902
