Yr Mo Da Hr dur Lat Lon Calc Site
1983 10 29 600 600 40.78 -74.67 0.0 703
1983 10 29 600 600 41.02 -75.9 0.0 704
1983 10 29 600 600 41.83 -75.87 0.0 706
1983 10 29 600 600 42.45 -76.45 0.0 708
1983 10 29 600 600 39.93 -74.7 0.0 802
1983 10 29 600 600 40.9 -74.6 0.0 804
1983 10 29 600 600 41.63 -74.8 0.0 806
1983 10 29 600 600 42.08 -74.97 0.0 807
1983 10 29 600 600 43.23 -75.4 0.0 810
1983 10 29 600 600 40.67 -73.52 0.0 902
1983 10 29 600 600 43.05 -74.2 0.0 908
1983 10 29 600 600 43.97 -74.1 0.0 910
1983 10 29 600 600 44.8 -75.0 0.0 912
1983 10 29 600 600 41.95 -72.3 0.0 4
1983 10 29 600 600 41.73 -71.43 0.0 102
1983 10 29 600 600 42.7 -71.17 0.0 104
1983 10 29 600 600 44.27 -71.3 0.0 106
1983 10 29 600 600 44.4 -71.18 0.0 107
1983 10 29 600 600 44.93 -72.2 0.0 108
1983 10 29 600 600 40.2 -78.25 0.0 502
1983 10 29 600 600 40.67 -78.23 0.0 504
1983 10 29 600 600 41.3 -78.48 0.0 506
1983 10 29 600 600 41.8 -78.63 0.0 508
1983 10 29 600 600 42.25 -78.8 0.0 510
1983 10 29 600 600 39.92 -76.75 0.0 602
1983 10 29 600 600 41.98 -77.57 0.0 608
1983 10 29 600 600 43.03 -78.18 0.0 614
1983 10 29 600 600 40.78 -74.67 0.0 703
1983 10 29 600 600 41.02 -75.9 0.0 704
1983 10 29 600 600 41.83 -75.87 0.0 706
1983 10 29 600 600 42.45 -76.45 0.0 708
1983 10 29 600 600 39.93 -74.7 0.0 802
1983 10 29 600 600 40.9 -74.6 0.0 804
1983 10 29 600 600 41.63 -74.8 0.0 806
1983 10 29 600 600 42.08 -74.97 0.0 807
1983 10 29 600 600 43.23 -75.4 0.0 810
1983 10 29 600 600 40.67 -73.52 0.0 902
1983 10 29 600 600 43.05 -74.2 0.0 908
1983 10 29 600 600 43.97 -74.1 0.0 910
1983 10 29 600 600 44.8 -75.0 0.0 912
1983 10 29 600 600 41.95 -72.3 0.0 4
1983 10 29 600 600 41.73 -71.43 0.0 102
1983 10 29 600 600 42.7 -71.17 0.0 104
1983 10 29 600 600 44.27 -71.3 0.0 106
1983 10 29 600 600 44.4 -71.18 0.0 107
1983 10 29 600 600 44.93 -72.2 0.0 108
1983 10 29 600 300 40.38 -80.63 0.0 306
1983 10 29 600 300 40.77 -80.75 0.0 308
1983 10 29 600 300 40.92 -81.43 0.0 310
1983 10 29 600 300 41.3 -81.15 0.0 312
1983 10 29 600 300 41.42 -81.87 0.0 314
1983 10 29 600 300 41.27 -82.62 0.0 318
1983 10 29 600 300 41.33 -83.12 0.0 320
1983 10 29 600 300 40.43 -79.15 0.0 404
1983 10 29 600 300 42.08 -80.18 0.0 412
1983 10 29 600 300 42.67 -81.15 0.0 454
1983 10 29 600 300 42.7 -82.35 0.0 456
1983 10 29 600 300 43.52 -79.92 0.0 554
1983 10 29 600 300 43.98 -80.75 0.0 556
1983 10 29 600 300 43.92 -78.67 0.0 652
1983 10 29 600 300 44.23 -78.37 0.0 653
1983 10 29 600 300 44.62 -79.53 0.0 654
1983 10 29 600 300 44.68 -77.15 0.0 753
1983 10 29 600 300 44.28 -77.78 0.0 754
1983 10 29 600 300 44.48 -76.03 0.0 852
1983 10 29 600 300 45.55 -75.52 0.0 952
1983 10 29 600 300 45.98 -74.0 0.0 52
1983 10 29 900 600 41.27 -73.8 0.0 904
1983 10 29 900 600 41.1 -72.37 0.0 2
1983 10 29 900 600 41.25 -76.92 0.0 606
1983 10 29 900 600 40.37 -75.93 0.0 702
1983 10 29 900 600 40.45 -74.8 0.0 803
1983 10 29 900 600 41.3 -74.67 0.0 805
1983 10 29 900 600 42.47 -75.07 0.0 808
1983 10 29 900 600 41.27 -73.8 0.0 904
1983 10 29 900 600 41.1 -72.37 0.0 2
1983 10 29 900 300 40.38 -80.63 0.0 306
1983 10 29 900 300 40.77 -80.75 0.0 308
1983 10 29 900 300 40.92 -81.43 0.0 310
1983 10 29 900 300 41.42 -81.87 0.0 314
1983 10 29 900 300 41.27 -82.62 0.0 318
1983 10 29 900 300 40.43 -79.15 0.0 404
1983 10 29 900 300 42.08 -80.18 0.0 412
1983 10 29 900 300 42.67 -81.15 0.0 454
1983 10 29 900 300 42.7 -82.35 0.0 456
1983 10 29 900 300 43.52 -79.92 0.0 554
1983 10 29 900 300 43.98 -80.75 0.0 556
1983 10 29 900 300 43.92 -78.67 0.0 652
1983 10 29 900 300 44.23 -78.37 0.0 653
1983 10 29 900 300 44.62 -79.53 1132.9846634417247 654
1983 10 29 900 300 44.68 -77.15 0.0 753
1983 10 29 900 300 44.28 -77.78 0.0 754
1983 10 29 900 300 44.48 -76.03 0.0 852
1983 10 29 900 300 45.55 -75.52 0.0 952
1983 10 29 900 300 45.98 -74.0 0.0 52
1983 10 29 1200 600 40.2 -78.25 0.0 502
1983 10 29 1200 600 40.67 -78.23 0.0 504
1983 10 29 1200 600 41.3 -78.48 0.0 506
1983 10 29 1200 600 41.8 -78.63 1.9592434609471825 508
1983 10 29 1200 600 42.25 -78.8 35.64149623268831 510
1983 10 29 1200 600 39.92 -76.75 0.0 602
1983 10 29 1200 600 41.98 -77.57 15.372429812482686 608
1983 10 29 1200 600 43.03 -78.18 694.251279999353 614
1983 10 29 1200 600 40.78 -74.67 0.0 703
1983 10 29 1200 600 41.02 -75.9 0.0 704
1983 10 29 1200 600 41.83 -75.87 0.0 706
1983 10 29 1200 600 42.45 -76.45 1.3187748728973891 708
1983 10 29 1200 600 43.07 -76.83 2.188375811841808 710
1983 10 29 1200 600 39.93 -74.7 0.0 802
1983 10 29 1200 600 40.9 -74.6 0.0 804
1983 10 29 1200 600 41.63 -74.8 0.0 806
1983 10 29 1200 600 43.23 -75.4 0.0 810
1983 10 29 1200 600 40.67 -73.52 0.0 902
1983 10 29 1200 600 43.05 -74.2 0.0 908
1983 10 29 1200 600 43.97 -74.1 0.0 910
1983 10 29 1200 600 44.8 -75.0 0.0 912
1983 10 29 1200 600 41.95 -72.3 0.0 4
1983 10 29 1200 600 41.73 -71.43 0.0 102
1983 10 29 1200 600 42.7 -71.17 0.0 104
1983 10 29 1200 600 44.27 -71.3 0.0 106
1983 10 29 1200 600 44.4 -71.18 0.0 107
1983 10 29 1200 600 44.93 -72.2 0.0 108
1983 10 29 1200 300 40.38 -80.63 0.0 306
1983 10 29 1200 300 40.92 -81.43 0.0 310
1983 10 29 1200 300 41.42 -81.87 0.0 314
1983 10 29 1200 300 41.27 -82.62 0.0 318
1983 10 29 1200 300 41.33 -83.12 0.0 320
1983 10 29 1200 300 42.08 -80.18 0.0 412
1983 10 29 1200 300 42.67 -81.15 0.0 454
1983 10 29 1200 300 42.7 -82.35 0.0 456
1983 10 29 1200 300 43.18 -79.4 169.2711171317811 552
1983 10 29 1200 300 43.52 -79.92 213.5383387351254 554
1983 10 29 1200 300 43.98 -80.75 2.4401363493027386 556
1983 10 29 1200 300 43.92 -78.67 955.3367637292581 652
1983 10 29 1200 300 44.23 -78.37 97.22127977831592 653
1983 10 29 1200 300 44.62 -79.53 8057.050397509768 654
1983 10 29 1200 300 44.68 -77.15 0.0 753
1983 10 29 1200 300 44.28 -77.78 0.0 754
1983 10 29 1200 300 44.48 -76.03 0.0 852
1983 10 29 1200 300 45.55 -75.52 0.0 952
1983 10 29 1200 300 45.98 -74.0 0.0 52
1983 10 29 1500 600 41.25 -76.92 67.88733883442039 606
1983 10 29 1500 600 40.37 -75.93 0.0 702
1983 10 29 1500 600 40.45 -74.8 0.0 803
1983 10 29 1500 600 41.3 -74.67 0.0 805
1983 10 29 1500 600 41.27 -73.8 0.0 904
1983 10 29 1500 600 41.1 -72.37 0.0 2
1983 10 29 1500 300 40.38 -80.63 0.0 306
1983 10 29 1500 300 40.92 -81.43 0.0 310
1983 10 29 1500 300 41.42 -81.87 0.0 314
1983 10 29 1500 300 41.27 -82.62 0.0 318
1983 10 29 1500 300 41.33 -83.12 0.0 320
1983 10 29 1500 300 42.67 -81.15 0.0 454
1983 10 29 1500 300 43.18 -79.4 2126.6256140934784 552
1983 10 29 1500 300 43.52 -79.92 515.8436282384174 554
1983 10 29 1500 300 43.98 -80.75 1.938770743997456 556
1983 10 29 1500 300 43.92 -78.67 2003.8942649140092 652
1983 10 29 1500 300 44.23 -78.37 70.58807720094208 653
1983 10 29 1500 300 44.62 -79.53 1152.0284762670412 654
1983 10 29 1500 300 44.68 -77.15 0.0 753
1983 10 29 1500 300 44.28 -77.78 0.0 754
1983 10 29 1500 300 44.48 -76.03 0.0 852
1983 10 29 1500 300 45.55 -75.52 0.0 952
1983 10 29 1500 300 45.98 -74.0 0.0 52
1983 10 29 1800 600 40.2 -78.25 2.7863668912740356 502
1983 10 29 1800 600 40.67 -78.23 54.90027057129402 504
1983 10 29 1800 600 41.3 -78.48 385.7646363810654 506
1983 10 29 1800 600 41.8 -78.63 614.4770944754742 508
1983 10 29 1800 600 42.25 -78.8 794.4881910006426 510
1983 10 29 1800 600 39.92 -76.75 16.968144904943756 602
1983 10 29 1800 600 41.98 -77.57 1987.129242868931 608
1983 10 29 1800 600 43.03 -78.18 2281.9375622645066 614
1983 10 29 1800 600 40.78 -74.67 2.7104995445506685 703
1983 10 29 1800 600 41.02 -75.9 166.9460290744461 704
1983 10 29 1800 600 41.83 -75.87 22.09209033853737 706
1983 10 29 1800 600 42.45 -76.45 36.65836707547152 708
1983 10 29 1800 600 43.07 -76.83 28.958153155863293 710
1983 10 29 1800 600 39.93 -74.7 1.697241322353495 802
1983 10 29 1800 600 40.9 -74.6 1.3144970348930172 804
1983 10 29 1800 600 41.63 -74.8 0.0 806
1983 10 29 1800 600 43.23 -75.4 0.0 810
1983 10 29 1800 600 40.67 -73.52 0.0 902
1983 10 29 1800 600 43.05 -74.2 0.0 908
1983 10 29 1800 600 43.97 -74.1 0.0 910
1983 10 29 1800 600 44.8 -75.0 0.0 912
1983 10 29 1800 600 41.95 -72.3 0.0 4
1983 10 29 1800 600 41.73 -71.43 0.0 102
1983 10 29 1800 600 42.7 -71.17 0.0 104
1983 10 29 1800 600 44.27 -71.3 0.0 106
1983 10 29 1800 600 44.4 -71.18 0.0 107
1983 10 29 1800 600 44.93 -72.2 0.0 108
1983 10 29 1800 300 40.38 -80.63 0.0 306
1983 10 29 1800 300 40.92 -81.43 0.0 310
1983 10 29 1800 300 41.42 -81.87 0.0 314
1983 10 29 1800 300 41.27 -82.62 0.0 318
1983 10 29 1800 300 41.33 -83.12 0.0 320
1983 10 29 1800 300 42.67 -81.15 0.0 454
1983 10 29 1800 300 43.52 -79.92 113.92885269721278 554
1983 10 29 1800 300 43.98 -80.75 0.0 556
1983 10 29 1800 300 43.92 -78.67 419.7738250739073 652
1983 10 29 1800 300 44.23 -78.37 15.843408874091544 653
1983 10 29 1800 300 44.62 -79.53 5.8465199576341975 654
1983 10 29 1800 300 44.68 -77.15 0.0 753
1983 10 29 1800 300 44.28 -77.78 0.0 754
1983 10 29 1800 300 44.48 -76.03 0.0 852
1983 10 29 1800 300 45.55 -75.52 0.0 952
1983 10 29 1800 300 45.98 -74.0 0.0 52
1983 10 29 2100 600 41.25 -76.92 9116.23934557698 606
1983 10 29 2100 600 40.37 -75.93 1350.3547650119995 702
1983 10 29 2100 600 40.45 -74.8 52.2986158353384 803
1983 10 29 2100 600 41.3 -74.67 1.271456434990318 805
1983 10 29 2100 600 42.47 -75.07 0.0 808
