Yr Mo Da Hr dur Lat Lon Calc Site
1983 10 2 2100 300 40.38 -80.63 0.0 306
1983 10 2 2100 300 40.77 -80.75 0.0 308
1983 10 2 2100 300 40.92 -81.43 0.0 310
1983 10 2 2100 300 41.3 -81.15 0.0 312
1983 10 2 2100 300 41.42 -81.87 0.0 314
1983 10 2 2100 300 41.3 -82.22 0.0 316
1983 10 2 2100 300 41.27 -82.62 0.0 318
1983 10 2 2100 300 41.33 -83.12 0.0 320
1983 10 2 2100 600 42.7 -82.35 0.0 456
1983 10 3 0 300 40.38 -80.63 0.0 306
1983 10 3 0 300 40.77 -80.75 0.0 308
1983 10 3 0 300 40.92 -81.43 0.0 310
1983 10 3 0 300 41.3 -81.15 0.0 312
1983 10 3 0 300 41.42 -81.87 0.0 314
1983 10 3 0 300 41.3 -82.22 2.1157038839418445 316
1983 10 3 0 300 41.27 -82.62 86.95502943111077 318
1983 10 3 0 300 41.33 -83.12 729.8106619853829 320
1983 10 3 0 600 40.0 -79.08 0.0 402
1983 10 3 0 600 40.43 -79.15 0.0 404
1983 10 3 0 600 40.82 -79.53 0.0 406
1983 10 3 0 600 41.2 -79.43 0.0 408
1983 10 3 0 600 41.63 -79.7 0.0 410
1983 10 3 0 600 42.08 -80.18 0.0 412
1983 10 3 0 600 42.6 -80.5 0.0 452
1983 10 3 0 600 42.67 -81.15 0.0 454
1983 10 3 0 600 40.2 -78.25 0.0 502
1983 10 3 0 600 40.67 -78.23 0.0 504
1983 10 3 0 600 41.8 -78.63 0.0 508
1983 10 3 0 600 42.25 -78.8 0.0 510
1983 10 3 0 600 42.48 -78.93 0.0 512
1983 10 3 0 600 43.18 -79.4 0.0 552
1983 10 3 0 600 43.98 -80.75 0.0 556
1983 10 3 300 300 40.38 -80.63 0.0 306
1983 10 3 300 300 40.77 -80.75 0.0 308
1983 10 3 300 300 40.92 -81.43 25.58902981928784 310
1983 10 3 300 300 41.3 -81.15 35.6733479168402 312
1983 10 3 300 300 41.42 -81.87 1144.958329721272 314
1983 10 3 300 300 41.3 -82.22 2075.3532028129703 316
1983 10 3 300 300 41.27 -82.62 7650.943654937877 318
1983 10 3 300 300 41.33 -83.12 17523.0962142698 320
1983 10 3 300 600 42.7 -82.35 488.35007198698264 456
1983 10 3 300 600 45.98 -74.0 0.0 52
1983 10 3 600 300 40.38 -80.63 11.136527206238473 306
1983 10 3 600 300 40.77 -80.75 59.2535865004921 308
1983 10 3 600 300 40.92 -81.43 64.22998228949838 310
1983 10 3 600 300 41.3 -81.15 626.5789974691 312
1983 10 3 600 300 41.42 -81.87 1313.8709767400728 314
1983 10 3 600 300 41.3 -82.22 515.5875370822894 316
1983 10 3 600 300 41.27 -82.62 443.0784486461846 318
1983 10 3 600 300 41.33 -83.12 288.7048403220581 320
1983 10 3 600 600 40.0 -79.08 8.313879010773709 402
1983 10 3 600 600 40.43 -79.15 13.480705309631656 404
1983 10 3 600 600 40.82 -79.53 28.348023957891286 406
1983 10 3 600 600 41.2 -79.43 30.9785301614806 408
1983 10 3 600 600 41.63 -79.7 132.05000162294974 410
1983 10 3 600 600 42.08 -80.18 829.2293177112433 412
1983 10 3 600 600 42.6 -80.5 893.2896907161426 452
1983 10 3 600 600 42.67 -81.15 1009.2945534349694 454
1983 10 3 600 600 40.2 -78.25 0.0 502
1983 10 3 600 600 40.67 -78.23 0.0 504
1983 10 3 600 600 41.8 -78.63 13.53170799661798 508
1983 10 3 600 600 42.25 -78.8 27.066865786552345 510
1983 10 3 600 600 42.48 -78.93 45.60777344037748 512
1983 10 3 600 600 43.18 -79.4 60.7672136162707 552
1983 10 3 600 600 43.98 -80.75 3.15717665183768 556
1983 10 3 600 600 39.92 -76.75 0.0 602
1983 10 3 600 600 40.48 -77.13 0.0 604
1983 10 3 600 600 41.25 -76.92 0.0 606
1983 10 3 600 600 41.98 -77.57 0.0 608
1983 10 3 600 600 42.88 -78.03 0.0 612
1983 10 3 600 600 43.03 -78.18 0.0 614
1983 10 3 600 600 44.23 -78.37 0.0 653
1983 10 3 600 600 44.62 -79.53 0.0 654
1983 10 3 600 600 40.37 -75.93 0.0 702
1983 10 3 600 600 41.02 -75.9 0.0 704
1983 10 3 600 600 41.83 -75.87 0.0 706
1983 10 3 600 600 42.45 -76.45 0.0 708
1983 10 3 600 600 43.98 -77.22 0.0 752
1983 10 3 600 600 44.68 -77.15 0.0 753
1983 10 3 600 600 44.28 -77.78 0.0 754
1983 10 3 900 300 40.38 -80.63 4.73669363538218 306
1983 10 3 900 300 40.77 -80.75 13.908191811982313 308
1983 10 3 900 300 40.92 -81.43 0.0 310
1983 10 3 900 300 41.3 -81.15 19.97479457131603 312
1983 10 3 900 300 41.42 -81.87 0.0 314
1983 10 3 900 300 41.3 -82.22 0.0 316
1983 10 3 900 300 41.27 -82.62 0.0 318
1983 10 3 900 300 41.33 -83.12 0.0 320
1983 10 3 900 600 42.7 -82.35 3220.6751714792813 456
1983 10 3 900 600 45.98 -74.0 0.0 52
1983 10 3 1200 300 40.38 -80.63 1.8054465795196575 306
1983 10 3 1200 300 40.77 -80.75 1.363866788387506 308
1983 10 3 1200 300 40.92 -81.43 0.0 310
1983 10 3 1200 300 41.3 -81.15 0.0 312
1983 10 3 1200 300 41.42 -81.87 0.0 314
1983 10 3 1200 300 41.3 -82.22 0.0 316
1983 10 3 1200 300 41.27 -82.62 0.0 318
1983 10 3 1200 300 41.33 -83.12 0.0 320
1983 10 3 1200 600 40.0 -79.08 48.475413111891804 402
1983 10 3 1200 600 40.43 -79.15 69.22713179170405 404
1983 10 3 1200 600 40.82 -79.53 40.56393878498304 406
1983 10 3 1200 600 41.2 -79.43 19.959269008851102 408
1983 10 3 1200 600 41.63 -79.7 5.664301445437437 410
1983 10 3 1200 600 42.08 -80.18 11.104977253561438 412
1983 10 3 1200 600 42.6 -80.5 62.76949760795466 452
1983 10 3 1200 600 42.67 -81.15 37.74496544344528 454
1983 10 3 1200 600 40.2 -78.25 270.2043702491522 502
1983 10 3 1200 600 40.67 -78.23 248.01089822945235 504
1983 10 3 1200 600 41.8 -78.63 135.55744146585965 508
1983 10 3 1200 600 42.25 -78.8 194.41628735810258 510
1983 10 3 1200 600 42.48 -78.93 207.0153921187216 512
1983 10 3 1200 600 43.18 -79.4 709.7687227992095 552
1983 10 3 1200 600 39.92 -76.75 4.849144048271945 602
1983 10 3 1200 600 40.48 -77.13 179.8195454651127 604
1983 10 3 1200 600 41.98 -77.57 333.1771907141164 608
1983 10 3 1200 600 42.88 -78.03 271.0126942182542 612
1983 10 3 1200 600 43.03 -78.18 295.3990514051196 614
1983 10 3 1200 600 43.92 -78.67 469.88516857470876 652
1983 10 3 1200 600 44.23 -78.37 356.78008829860295 653
1983 10 3 1200 600 44.62 -79.53 272.2856968271056 654
1983 10 3 1200 600 40.37 -75.93 0.0 702
1983 10 3 1200 600 40.78 -74.67 0.0 703
1983 10 3 1200 600 41.02 -75.9 10.012808700031526 704
1983 10 3 1200 600 41.83 -75.87 44.00751162772569 706
1983 10 3 1200 600 42.45 -76.45 249.24819108133497 708
1983 10 3 1200 600 43.07 -76.83 253.73492663951387 710
1983 10 3 1200 600 43.98 -77.22 168.66190682105903 752
1983 10 3 1200 600 44.68 -77.15 139.35599956824194 753
1983 10 3 1200 600 44.28 -77.78 310.43056815702124 754
1983 10 3 1200 600 39.93 -74.7 0.0 802
1983 10 3 1200 600 40.9 -74.6 0.0 804
1983 10 3 1200 600 41.3 -74.67 0.0 805
1983 10 3 1200 600 42.08 -74.97 0.0 807
1983 10 3 1200 600 42.47 -75.07 1.0145227285513443 808
1983 10 3 1200 600 42.92 -75.12 1.0347028615924583 809
1983 10 3 1200 600 43.23 -75.4 2.2394186887663174 810
1983 10 3 1200 600 43.58 -75.52 1.4611175211394154 811
1983 10 3 1200 600 44.48 -76.03 25.085394287854925 852
1983 10 3 1200 600 40.67 -73.52 0.0 902
1983 10 3 1200 600 41.27 -73.8 0.0 904
