Yr Mo Da Hr dur Lat Lon Calc Site
1983 10 14 1800 300 40.38 -80.63 0.0 306
1983 10 14 1800 300 40.77 -80.75 0.0 308
1983 10 14 1800 300 40.92 -81.43 0.0 310
1983 10 14 1800 300 41.3 -81.15 0.0 312
1983 10 14 1800 300 41.42 -81.87 0.0 314
1983 10 14 1800 300 41.27 -82.62 0.0 318
1983 10 14 1800 300 41.33 -83.12 0.0 320
1983 10 14 2100 300 40.38 -80.63 162.39175425836666 306
1983 10 14 2100 300 40.92 -81.43 1157.1411921357949 310
1983 10 14 2100 300 41.42 -81.87 2.238625180076693 314
1983 10 14 2100 300 41.27 -82.62 0.0 318
1983 10 14 2100 300 41.33 -83.12 0.0 320
1983 10 14 2100 300 40.43 -79.15 0.0 404
1983 10 14 2100 300 40.82 -79.53 0.0 406
1983 10 14 2100 300 42.08 -80.18 0.0 412
1983 10 14 2100 300 42.67 -81.15 0.0 454
1983 10 14 2100 300 42.7 -82.35 0.0 456
1983 10 14 2100 300 40.78 -74.67 0.0 703
1983 10 14 2100 600 40.2 -78.25 13.814522182844005 502
1983 10 14 2100 600 40.67 -78.23 371.0348139378739 504
1983 10 14 2100 600 41.3 -78.48 7.804633697781418 506
1983 10 14 2100 600 41.8 -78.63 0.0 508
1983 10 14 2100 600 42.25 -78.8 0.0 510
1983 10 14 2100 600 42.48 -78.93 0.0 512
1983 10 14 2100 600 43.52 -79.92 0.0 554
1983 10 14 2100 600 43.98 -80.75 0.0 556
1983 10 14 2100 600 39.92 -76.75 0.0 602
1983 10 14 2100 600 40.48 -77.13 0.0 604
1983 10 14 2100 600 41.25 -76.92 0.0 606
1983 10 14 2100 600 41.98 -77.57 0.0 608
1983 10 14 2100 600 42.88 -78.03 0.0 612
1983 10 14 2100 600 43.03 -78.18 0.0 614
1983 10 14 2100 600 43.92 -78.67 0.0 652
1983 10 14 2100 600 44.62 -79.53 0.0 654
1983 10 14 2100 600 40.37 -75.93 0.0 702
1983 10 14 2100 600 42.45 -76.45 0.0 708
1983 10 14 2100 600 43.98 -77.22 0.0 752
1983 10 14 2100 600 44.28 -77.78 0.0 754
1983 10 14 2100 600 44.93 -78.72 0.0 756
1983 10 14 2100 600 39.93 -74.7 0.0 802
1983 10 14 2100 600 40.45 -74.8 0.0 803
1983 10 14 2100 600 40.9 -74.6 0.0 804
1983 10 14 2100 600 41.3 -74.67 0.0 805
1983 10 14 2100 600 41.63 -74.8 0.0 806
1983 10 14 2100 600 40.67 -73.52 0.0 902
1983 10 14 2100 600 40.85 -73.97 0.0 903
1983 10 15 0 300 40.38 -80.63 637.3087331231033 306
1983 10 15 0 300 40.77 -80.75 5917.522393266519 308
1983 10 15 0 300 40.92 -81.43 3826.81972105816 310
1983 10 15 0 300 41.3 -81.15 256.51133235668965 312
1983 10 15 0 300 41.42 -81.87 3.407326655997549 314
1983 10 15 0 300 41.27 -82.62 0.0 318
1983 10 15 0 300 41.33 -83.12 0.0 320
1983 10 15 0 300 40.43 -79.15 47.685584507961025 404
1983 10 15 0 300 40.82 -79.53 176.13724410819117 406
1983 10 15 0 300 42.08 -80.18 0.0 412
1983 10 15 0 300 42.67 -81.15 0.0 454
1983 10 15 0 300 42.7 -82.35 0.0 456
1983 10 15 0 300 40.78 -74.67 0.0 703
1983 10 15 300 300 40.38 -80.63 344.7125795545766 306
1983 10 15 300 300 40.77 -80.75 5691.4381091559835 308
1983 10 15 300 300 40.92 -81.43 1721.7096389007206 310
1983 10 15 300 300 41.3 -81.15 454.96481232906814 312
1983 10 15 300 300 41.42 -81.87 4.098730797262303 314
1983 10 15 300 300 41.27 -82.62 0.0 318
1983 10 15 300 300 41.33 -83.12 0.0 320
1983 10 15 300 300 40.43 -79.15 86.20341408443802 404
1983 10 15 300 300 40.82 -79.53 956.7203881838251 406
1983 10 15 300 300 42.08 -80.18 1.330835562493858 412
1983 10 15 300 300 42.67 -81.15 0.0 454
1983 10 15 300 300 42.7 -82.35 0.0 456
1983 10 15 300 300 40.78 -74.67 0.0 703
1983 10 15 300 300 44.68 -77.15 0.0 753
1983 10 15 300 600 40.2 -78.25 8705.65423712216 502
1983 10 15 300 600 40.67 -78.23 6506.8121787594855 504
1983 10 15 300 600 41.3 -78.48 103.72448800804017 506
1983 10 15 300 600 41.8 -78.63 7.299237193484365 508
1983 10 15 300 600 42.25 -78.8 0.0 510
1983 10 15 300 600 42.48 -78.93 0.0 512
1983 10 15 300 600 43.52 -79.92 0.0 554
1983 10 15 300 600 43.98 -80.75 0.0 556
1983 10 15 300 600 39.92 -76.75 875.8511876748868 602
1983 10 15 300 600 40.48 -77.13 6355.619623341868 604
1983 10 15 300 600 41.25 -76.92 2390.5878171234513 606
1983 10 15 300 600 41.98 -77.57 5.622535304153807 608
1983 10 15 300 600 42.88 -78.03 0.0 612
1983 10 15 300 600 43.03 -78.18 0.0 614
1983 10 15 300 600 43.92 -78.67 0.0 652
1983 10 15 300 600 40.37 -75.93 333.0025284871466 702
1983 10 15 300 600 42.45 -76.45 0.0 708
1983 10 15 300 600 43.98 -77.22 0.0 752
1983 10 15 300 600 44.28 -77.78 0.0 754
1983 10 15 300 600 44.93 -78.72 0.0 756
1983 10 15 300 600 39.93 -74.7 136.05169324951672 802
1983 10 15 300 600 40.45 -74.8 56.8251597574935 803
1983 10 15 300 600 40.9 -74.6 26.5543531787909 804
1983 10 15 300 600 41.3 -74.67 7.702604123274814 805
1983 10 15 300 600 41.63 -74.8 1.26251991857373 806
1983 10 15 300 600 42.92 -75.12 0.0 809
1983 10 15 300 600 43.23 -75.4 0.0 810
1983 10 15 300 600 43.58 -75.52 0.0 811
1983 10 15 300 600 40.67 -73.52 0.0 902
1983 10 15 300 600 40.85 -73.97 2.0275385464561784 903
1983 10 15 300 600 43.05 -74.2 0.0 908
1983 10 15 300 600 43.97 -74.1 0.0 910
1983 10 15 300 600 44.8 -75.0 0.0 912
1983 10 15 300 600 45.55 -75.52 0.0 952
1983 10 15 300 600 41.1 -72.37 0.0 2
1983 10 15 300 600 41.95 -72.3 0.0 4
1983 10 15 300 600 41.73 -71.43 0.0 102
1983 10 15 300 600 42.7 -71.17 0.0 104
1983 10 15 600 300 40.38 -80.63 21.287938892040724 306
1983 10 15 600 300 40.77 -80.75 1268.5271469227575 308
1983 10 15 600 300 40.92 -81.43 832.7562010533843 310
1983 10 15 600 300 41.3 -81.15 921.5824755026808 312
1983 10 15 600 300 41.42 -81.87 23.351127280184244 314
1983 10 15 600 300 41.27 -82.62 0.0 318
1983 10 15 600 300 41.33 -83.12 0.0 320
1983 10 15 600 300 40.43 -79.15 39.409833457145496 404
1983 10 15 600 300 40.82 -79.53 115.40133906767127 406
1983 10 15 600 300 42.08 -80.18 0.0 412
1983 10 15 600 300 42.67 -81.15 0.0 454
1983 10 15 600 300 42.7 -82.35 0.0 456
1983 10 15 600 300 40.78 -74.67 101.10609446346334 703
1983 10 15 600 300 44.68 -77.15 0.0 753
1983 10 15 600 600 41.27 -73.8 10.99626504589496 904
1983 10 15 900 300 40.38 -80.63 1.7751209627502722 306
1983 10 15 900 300 40.77 -80.75 223.263817251307 308
1983 10 15 900 300 40.92 -81.43 126.04649476019604 310
1983 10 15 900 300 41.3 -81.15 410.4360278566423 312
1983 10 15 900 300 41.42 -81.87 10.477713502810381 314
1983 10 15 900 300 41.27 -82.62 0.0 318
1983 10 15 900 300 41.33 -83.12 0.0 320
1983 10 15 900 300 40.43 -79.15 15.275716621886055 404
1983 10 15 900 300 40.82 -79.53 67.34931327532055 406
1983 10 15 900 300 42.08 -80.18 0.0 412
1983 10 15 900 300 42.67 -81.15 0.0 454
1983 10 15 900 300 42.7 -82.35 0.0 456
1983 10 15 900 300 40.78 -74.67 1033.8225322790051 703
1983 10 15 900 300 44.68 -77.15 0.0 753
1983 10 15 900 600 40.2 -78.25 2077.9116529603893 502
1983 10 15 900 600 40.67 -78.23 1875.0210374467065 504
1983 10 15 900 600 41.3 -78.48 120.91235347211706 506
1983 10 15 900 600 41.8 -78.63 6.6124818170477235 508
1983 10 15 900 600 42.25 -78.8 0.0 510
1983 10 15 900 600 42.48 -78.93 0.0 512
1983 10 15 900 600 43.52 -79.92 0.0 554
1983 10 15 900 600 43.98 -80.75 0.0 556
1983 10 15 900 600 39.92 -76.75 6095.835247436113 602
1983 10 15 900 600 41.25 -76.92 4834.9184569622 606
1983 10 15 900 600 41.98 -77.57 18.77242033487046 608
1983 10 15 900 600 42.88 -78.03 0.0 612
1983 10 15 900 600 43.03 -78.18 0.0 614
1983 10 15 900 600 43.92 -78.67 0.0 652
1983 10 15 900 600 40.37 -75.93 4504.095090872815 702
1983 10 15 900 600 42.45 -76.45 2.174828805301461 708
1983 10 15 900 600 43.98 -77.22 0.0 752
1983 10 15 900 600 44.28 -77.78 0.0 754
1983 10 15 900 600 44.93 -78.72 0.0 756
1983 10 15 900 600 39.93 -74.7 1178.7274475767988 802
1983 10 15 900 600 40.45 -74.8 1043.1664988435143 803
1983 10 15 900 600 40.9 -74.6 388.617493617978 804
1983 10 15 900 600 41.3 -74.67 113.40378528669811 805
1983 10 15 900 600 41.63 -74.8 46.42002984789363 806
1983 10 15 900 600 42.92 -75.12 0.0 809
1983 10 15 900 600 43.23 -75.4 0.0 810
1983 10 15 900 600 43.58 -75.52 0.0 811
1983 10 15 900 600 40.67 -73.52 29.334005747797324 902
1983 10 15 900 600 40.85 -73.97 73.16368956095374 903
1983 10 15 900 600 43.05 -74.2 0.0 908
1983 10 15 900 600 43.97 -74.1 0.0 910
1983 10 15 900 600 44.8 -75.0 0.0 912
1983 10 15 900 600 45.55 -75.52 0.0 952
1983 10 15 900 600 41.1 -72.37 0.0 2
1983 10 15 900 600 41.95 -72.3 0.0 4
1983 10 15 900 600 43.03 -72.8 0.0 6
1983 10 15 900 600 44.9 -73.8 0.0 10
1983 10 15 900 600 45.98 -74.0 0.0 52
1983 10 15 900 600 41.73 -71.43 0.0 102
1983 10 15 900 600 42.7 -71.17 0.0 104
1983 10 15 900 600 44.27 -71.3 0.0 106
1983 10 15 900 600 44.93 -72.2 0.0 108
1983 10 15 1200 300 40.43 -79.15 37.61323449099959 404
1983 10 15 1200 300 40.82 -79.53 608.1069369567783 406
1983 10 15 1200 300 42.08 -80.18 1.083601840856271 412
1983 10 15 1200 300 42.67 -81.15 0.0 454
1983 10 15 1200 300 42.7 -82.35 0.0 456
1983 10 15 1200 300 40.78 -74.67 121.26728222711883 703
1983 10 15 1200 300 44.68 -77.15 0.0 753
