Yr Mo Da Hr dur Lat Lon Calc Site
1983 10 2 2100 300 40.38 -80.63 0.0 306
1983 10 2 2100 300 40.77 -80.75 0.0 308
1983 10 2 2100 300 40.92 -81.43 0.0 310
1983 10 2 2100 300 41.3 -81.15 0.0 312
1983 10 2 2100 300 41.42 -81.87 0.0 314
1983 10 2 2100 300 41.3 -82.22 0.0 316
1983 10 2 2100 300 41.27 -82.62 0.0 318
1983 10 2 2100 300 41.33 -83.12 0.0 320
1983 10 2 2100 600 42.7 -82.35 0.0 456
1983 10 3 0 300 40.38 -80.63 0.0 306
1983 10 3 0 300 40.77 -80.75 0.0 308
1983 10 3 0 300 40.92 -81.43 0.0 310
1983 10 3 0 300 41.3 -81.15 0.0 312
1983 10 3 0 300 41.42 -81.87 0.0 314
1983 10 3 0 300 41.3 -82.22 2.334019521025452 316
1983 10 3 0 300 41.27 -82.62 48.15535834788969 318
1983 10 3 0 300 41.33 -83.12 382.91200637815666 320
1983 10 3 0 600 40.0 -79.08 0.0 402
1983 10 3 0 600 40.43 -79.15 0.0 404
1983 10 3 0 600 40.82 -79.53 0.0 406
1983 10 3 0 600 41.2 -79.43 0.0 408
1983 10 3 0 600 41.63 -79.7 0.0 410
1983 10 3 0 600 42.08 -80.18 0.0 412
1983 10 3 0 600 42.6 -80.5 0.0 452
1983 10 3 0 600 42.67 -81.15 0.0 454
1983 10 3 0 600 40.2 -78.25 0.0 502
1983 10 3 0 600 40.67 -78.23 0.0 504
1983 10 3 0 600 41.8 -78.63 0.0 508
1983 10 3 0 600 42.25 -78.8 0.0 510
1983 10 3 0 600 42.48 -78.93 0.0 512
1983 10 3 0 600 43.18 -79.4 0.0 552
1983 10 3 0 600 43.98 -80.75 0.0 556
1983 10 3 300 300 40.38 -80.63 0.0 306
1983 10 3 300 300 40.77 -80.75 1.2333983022014652 308
1983 10 3 300 300 40.92 -81.43 47.55880039786851 310
1983 10 3 300 300 41.3 -81.15 40.37040561869182 312
1983 10 3 300 300 41.42 -81.87 1219.6758593935626 314
1983 10 3 300 300 41.3 -82.22 2163.108703547998 316
1983 10 3 300 300 41.27 -82.62 4970.801857506233 318
1983 10 3 300 300 41.33 -83.12 10643.68941411388 320
1983 10 3 300 600 42.7 -82.35 449.0384529753755 456
1983 10 3 300 600 45.98 -74.0 0.0 52
1983 10 3 600 300 40.38 -80.63 19.0913455111815 306
1983 10 3 600 300 40.77 -80.75 66.41165496205655 308
1983 10 3 600 300 40.92 -81.43 43.33079715425163 310
1983 10 3 600 300 41.3 -81.15 336.82781859120007 312
1983 10 3 600 300 41.42 -81.87 1656.321133103403 314
1983 10 3 600 300 41.3 -82.22 808.4844765473646 316
1983 10 3 600 300 41.27 -82.62 324.7863343975056 318
1983 10 3 600 300 41.33 -83.12 355.83179240713554 320
1983 10 3 600 600 40.0 -79.08 2.2926504880998073 402
1983 10 3 600 600 40.43 -79.15 9.647382199162939 404
1983 10 3 600 600 40.82 -79.53 39.82367333601616 406
1983 10 3 600 600 41.2 -79.43 57.82472575310364 408
1983 10 3 600 600 41.63 -79.7 120.6148208162687 410
1983 10 3 600 600 42.08 -80.18 526.9363552125666 412
1983 10 3 600 600 42.6 -80.5 720.6550900475728 452
1983 10 3 600 600 42.67 -81.15 711.7060778280343 454
1983 10 3 600 600 40.2 -78.25 0.0 502
1983 10 3 600 600 40.67 -78.23 0.0 504
1983 10 3 600 600 41.8 -78.63 32.95376665144233 508
1983 10 3 600 600 42.25 -78.8 91.46471385775773 510
1983 10 3 600 600 42.48 -78.93 103.6222857068501 512
1983 10 3 600 600 43.18 -79.4 52.98798265714556 552
1983 10 3 600 600 43.98 -80.75 1.6204672459090206 556
1983 10 3 600 600 39.92 -76.75 0.0 602
1983 10 3 600 600 40.48 -77.13 0.0 604
1983 10 3 600 600 41.25 -76.92 0.0 606
1983 10 3 600 600 41.98 -77.57 0.0 608
1983 10 3 600 600 42.88 -78.03 1.0050059873175996 612
1983 10 3 600 600 43.03 -78.18 1.2838397621773863 614
1983 10 3 600 600 44.23 -78.37 0.0 653
1983 10 3 600 600 44.62 -79.53 0.0 654
1983 10 3 600 600 40.37 -75.93 0.0 702
1983 10 3 600 600 41.02 -75.9 0.0 704
1983 10 3 600 600 41.83 -75.87 0.0 706
1983 10 3 600 600 42.45 -76.45 0.0 708
1983 10 3 600 600 43.98 -77.22 0.0 752
1983 10 3 600 600 44.68 -77.15 0.0 753
1983 10 3 600 600 44.28 -77.78 0.0 754
1983 10 3 900 300 40.38 -80.63 13.055857737261812 306
1983 10 3 900 300 40.77 -80.75 16.713434189042406 308
1983 10 3 900 300 40.92 -81.43 0.0 310
1983 10 3 900 300 41.3 -81.15 8.054212858249706 312
1983 10 3 900 300 41.42 -81.87 1.4682738544279432 314
1983 10 3 900 300 41.3 -82.22 0.0 316
1983 10 3 900 300 41.27 -82.62 0.0 318
1983 10 3 900 300 41.33 -83.12 0.0 320
1983 10 3 900 600 42.7 -82.35 3342.1163394696587 456
1983 10 3 900 600 45.98 -74.0 0.0 52
1983 10 3 1200 300 40.38 -80.63 1.512380313238807 306
1983 10 3 1200 300 40.77 -80.75 0.0 308
1983 10 3 1200 300 40.92 -81.43 0.0 310
1983 10 3 1200 300 41.3 -81.15 0.0 312
1983 10 3 1200 300 41.42 -81.87 0.0 314
1983 10 3 1200 300 41.3 -82.22 0.0 316
1983 10 3 1200 300 41.27 -82.62 0.0 318
1983 10 3 1200 300 41.33 -83.12 0.0 320
1983 10 3 1200 600 40.0 -79.08 78.70766248631385 402
1983 10 3 1200 600 40.43 -79.15 92.39091039882739 404
1983 10 3 1200 600 40.82 -79.53 52.9423452325102 406
1983 10 3 1200 600 41.2 -79.43 58.990642137376696 408
1983 10 3 1200 600 41.63 -79.7 27.03930793523914 410
1983 10 3 1200 600 42.08 -80.18 21.941569175781424 412
1983 10 3 1200 600 42.6 -80.5 94.7172647990639 452
1983 10 3 1200 600 42.67 -81.15 47.23555351482662 454
1983 10 3 1200 600 40.2 -78.25 274.3142228309359 502
1983 10 3 1200 600 40.67 -78.23 295.8059334900125 504
1983 10 3 1200 600 41.8 -78.63 197.73186588085355 508
1983 10 3 1200 600 42.25 -78.8 285.83009566683086 510
1983 10 3 1200 600 42.48 -78.93 377.44695801149896 512
1983 10 3 1200 600 43.18 -79.4 786.7762554760847 552
1983 10 3 1200 600 39.92 -76.75 18.912258428767924 602
1983 10 3 1200 600 40.48 -77.13 214.97704156137812 604
1983 10 3 1200 600 41.98 -77.57 348.43535882983304 608
1983 10 3 1200 600 42.88 -78.03 232.91254622053594 612
1983 10 3 1200 600 43.03 -78.18 247.88108683961602 614
1983 10 3 1200 600 43.92 -78.67 573.4876172306227 652
1983 10 3 1200 600 44.23 -78.37 433.4999188691842 653
1983 10 3 1200 600 44.62 -79.53 292.332216229156 654
1983 10 3 1200 600 40.37 -75.93 3.578465755221018 702
1983 10 3 1200 600 40.78 -74.67 0.0 703
1983 10 3 1200 600 41.02 -75.9 17.831715433086252 704
1983 10 3 1200 600 41.83 -75.87 49.18507343163813 706
1983 10 3 1200 600 42.45 -76.45 226.69459078558728 708
1983 10 3 1200 600 43.07 -76.83 165.80583490934274 710
1983 10 3 1200 600 43.98 -77.22 152.1640518072595 752
1983 10 3 1200 600 44.68 -77.15 113.74880718296049 753
1983 10 3 1200 600 44.28 -77.78 275.855592468047 754
1983 10 3 1200 600 39.93 -74.7 0.0 802
1983 10 3 1200 600 40.9 -74.6 0.0 804
1983 10 3 1200 600 41.3 -74.67 0.0 805
1983 10 3 1200 600 42.08 -74.97 0.0 807
1983 10 3 1200 600 42.47 -75.07 2.3783684866927097 808
1983 10 3 1200 600 42.92 -75.12 4.710837907175292 809
1983 10 3 1200 600 43.23 -75.4 12.078352114774823 810
1983 10 3 1200 600 43.58 -75.52 13.013438993427723 811
1983 10 3 1200 600 44.48 -76.03 21.09755262930161 852
1983 10 3 1200 600 40.67 -73.52 0.0 902
1983 10 3 1200 600 41.27 -73.8 0.0 904
