Yr Mo Da Hr dur Lat Lon Calc Site
1983 9 25 1800 300 40.38 -80.63 0.0 306
1983 9 25 1800 300 40.77 -80.75 0.0 308
1983 9 25 1800 300 40.92 -81.43 0.0 310
1983 9 25 1800 300 41.3 -81.15 0.0 312
1983 9 25 1800 300 41.42 -81.87 0.0 314
1983 9 25 1800 300 41.3 -82.22 0.0 316
1983 9 25 1800 300 41.27 -82.62 0.0 318
1983 9 25 1800 300 41.33 -83.12 0.0 320
1983 9 25 1800 600 40.2 -78.25 0.0 502
1983 9 25 2100 300 40.38 -80.63 0.0 306
1983 9 25 2100 300 40.77 -80.75 0.0 308
1983 9 25 2100 300 40.92 -81.43 0.0 310
1983 9 25 2100 300 41.3 -81.15 0.0 312
1983 9 25 2100 300 41.42 -81.87 0.0 314
1983 9 25 2100 300 41.3 -82.22 0.0 316
1983 9 25 2100 300 41.27 -82.62 0.0 318
1983 9 25 2100 300 41.33 -83.12 0.0 320
1983 9 25 2100 600 40.0 -79.08 0.0 402
1983 9 25 2100 600 40.43 -79.15 0.0 404
1983 9 25 2100 600 40.82 -79.53 0.0 406
1983 9 25 2100 600 41.2 -79.43 0.0 408
1983 9 25 2100 600 41.63 -79.7 0.0 410
1983 9 25 2100 600 42.08 -80.18 0.0 412
1983 9 25 2100 600 42.6 -80.5 0.0 452
1983 9 25 2100 600 42.67 -81.15 0.0 454
1983 9 25 2100 600 42.7 -82.35 0.0 456
1983 9 25 2100 600 40.67 -78.23 0.0 504
1983 9 25 2100 600 41.8 -78.63 0.0 508
1983 9 25 2100 600 42.48 -78.93 0.0 512
1983 9 25 2100 600 43.52 -79.92 0.0 554
1983 9 25 2100 600 43.98 -80.75 0.0 556
1983 9 26 0 300 40.38 -80.63 0.0 306
1983 9 26 0 300 40.77 -80.75 0.0 308
1983 9 26 0 300 40.92 -81.43 0.0 310
1983 9 26 0 300 41.3 -81.15 0.0 312
1983 9 26 0 300 41.42 -81.87 15.311089910210669 314
1983 9 26 0 300 41.3 -82.22 8.552888034124274 316
1983 9 26 0 300 41.27 -82.62 26.378132176339253 318
1983 9 26 0 300 41.33 -83.12 5.800437899673893 320
1983 9 26 0 600 40.2 -78.25 0.0 502
1983 9 26 300 300 40.38 -80.63 0.0 306
1983 9 26 300 300 40.77 -80.75 0.0 308
1983 9 26 300 300 40.92 -81.43 7.590430785379261 310
1983 9 26 300 300 41.3 -81.15 37.99012459054015 312
1983 9 26 300 300 41.42 -81.87 904.6083006074534 314
1983 9 26 300 300 41.3 -82.22 1269.2792062343192 316
1983 9 26 300 300 41.27 -82.62 1909.9966301869083 318
1983 9 26 300 300 41.33 -83.12 275.1418950916908 320
1983 9 26 300 600 40.0 -79.08 0.0 402
1983 9 26 300 600 40.43 -79.15 0.0 404
1983 9 26 300 600 40.82 -79.53 0.0 406
1983 9 26 300 600 41.2 -79.43 0.0 408
1983 9 26 300 600 42.08 -80.18 142.04309102375655 412
1983 9 26 300 600 42.6 -80.5 230.51123475093627 452
1983 9 26 300 600 42.67 -81.15 55.276707369165266 454
1983 9 26 300 600 42.7 -82.35 0.0 456
1983 9 26 300 600 40.67 -78.23 0.0 504
1983 9 26 300 600 41.8 -78.63 0.0 508
1983 9 26 300 600 42.48 -78.93 1.0623093559876067 512
1983 9 26 300 600 43.18 -79.4 0.0 552
1983 9 26 300 600 43.52 -79.92 0.0 554
1983 9 26 300 600 43.98 -80.75 0.0 556
1983 9 26 300 600 39.92 -76.75 0.0 602
1983 9 26 300 600 40.48 -77.13 0.0 604
1983 9 26 300 600 41.98 -77.57 0.0 608
1983 9 26 300 600 42.88 -78.03 0.0 612
1983 9 26 300 600 43.03 -78.18 0.0 614
1983 9 26 300 600 43.92 -78.67 0.0 652
1983 9 26 300 600 44.23 -78.37 0.0 653
1983 9 26 300 600 44.62 -79.53 0.0 654
1983 9 26 600 300 40.38 -80.63 0.0 306
1983 9 26 600 300 40.77 -80.75 1.4711939004437313 308
1983 9 26 600 300 40.92 -81.43 268.465509389913 310
1983 9 26 600 300 41.3 -81.15 508.60610341700834 312
1983 9 26 600 300 41.42 -81.87 4340.187610357293 314
1983 9 26 600 300 41.3 -82.22 5686.975018642987 316
1983 9 26 600 300 41.27 -82.62 2721.706295750926 318
1983 9 26 600 300 41.33 -83.12 52.39288772330637 320
1983 9 26 600 600 40.2 -78.25 0.0 502
1983 9 26 900 300 40.38 -80.63 8.439057575745847 306
1983 9 26 900 300 40.77 -80.75 35.15611531607074 308
1983 9 26 900 300 40.92 -81.43 2738.556639046859 310
1983 9 26 900 300 41.3 -81.15 4312.609000789901 312
1983 9 26 900 300 41.42 -81.87 4489.148715861414 314
1983 9 26 900 300 41.3 -82.22 4235.003746917774 316
1983 9 26 900 300 41.27 -82.62 763.1481485403541 318
1983 9 26 900 300 41.33 -83.12 10.179843593873809 320
1983 9 26 900 600 40.0 -79.08 0.0 402
1983 9 26 900 600 40.43 -79.15 0.0 404
1983 9 26 900 600 40.82 -79.53 0.0 406
1983 9 26 900 600 41.2 -79.43 17.69448252337173 408
1983 9 26 900 600 41.63 -79.7 319.5339383915445 410
1983 9 26 900 600 42.08 -80.18 2025.305272841856 412
1983 9 26 900 600 42.6 -80.5 489.5648131112736 452
1983 9 26 900 600 42.67 -81.15 6.412259860029174 454
1983 9 26 900 600 42.7 -82.35 0.0 456
1983 9 26 900 600 40.67 -78.23 0.0 504
1983 9 26 900 600 41.8 -78.63 14.38182129525913 508
1983 9 26 900 600 42.48 -78.93 247.0199531436747 512
1983 9 26 900 600 43.18 -79.4 375.236607526358 552
1983 9 26 900 600 43.52 -79.92 1.5245994470349533 554
1983 9 26 900 600 43.98 -80.75 0.0 556
1983 9 26 900 600 39.92 -76.75 0.0 602
1983 9 26 900 600 40.48 -77.13 0.0 604
1983 9 26 900 600 41.98 -77.57 3.898629437458834 608
1983 9 26 900 600 42.88 -78.03 76.6312826244514 612
1983 9 26 900 600 43.03 -78.18 131.84536315936094 614
1983 9 26 900 600 43.92 -78.67 1.8733815928695137 652
1983 9 26 900 600 44.23 -78.37 0.0 653
1983 9 26 900 600 44.62 -79.53 0.0 654
1983 9 26 900 600 41.02 -75.9 0.0 704
1983 9 26 900 600 41.83 -75.87 0.0 706
1983 9 26 900 600 42.45 -76.45 2.5223789754175545 708
1983 9 26 900 600 43.98 -77.22 0.0 752
1983 9 26 900 600 44.68 -77.15 0.0 753
1983 9 26 900 600 44.28 -77.78 0.0 754
1983 9 26 900 600 39.93 -74.7 0.0 802
1983 9 26 900 600 40.45 -74.8 0.0 803
1983 9 26 900 600 40.9 -74.6 0.0 804
1983 9 26 900 600 41.3 -74.67 0.0 805
1983 9 26 900 600 41.63 -74.8 0.0 806
1983 9 26 900 600 42.08 -74.97 0.0 807
1983 9 26 900 600 42.47 -75.07 0.0 808
1983 9 26 900 600 43.23 -75.4 0.0 810
1983 9 26 900 600 43.58 -75.52 0.0 811
1983 9 26 900 600 44.0 -76.02 0.0 812
1983 9 26 900 600 44.48 -76.03 0.0 852
1983 9 26 1200 600 40.2 -78.25 0.0 502
1983 9 26 1200 600 43.07 -76.83 81.59281879768895 710
1983 9 26 1500 600 40.0 -79.08 0.0 402
1983 9 26 1500 600 40.43 -79.15 0.0 404
1983 9 26 1500 600 40.82 -79.53 77.4046553219656 406
1983 9 26 1500 600 41.2 -79.43 329.36894826413237 408
1983 9 26 1500 600 41.63 -79.7 528.2150553214756 410
1983 9 26 1500 600 42.08 -80.18 293.6302698118792 412
1983 9 26 1500 600 42.6 -80.5 0.0 452
1983 9 26 1500 600 42.67 -81.15 0.0 454
1983 9 26 1500 600 42.7 -82.35 0.0 456
1983 9 26 1500 600 40.67 -78.23 0.0 504
1983 9 26 1500 600 41.8 -78.63 855.8109404696295 508
1983 9 26 1500 600 42.25 -78.8 484.8252839623869 510
1983 9 26 1500 600 42.48 -78.93 667.4412745609254 512
1983 9 26 1500 600 43.18 -79.4 6.5643029665078885 552
1983 9 26 1500 600 43.52 -79.92 0.0 554
1983 9 26 1500 600 43.98 -80.75 0.0 556
1983 9 26 1500 600 39.92 -76.75 0.0 602
1983 9 26 1500 600 40.48 -77.13 1.504783295416089 604
1983 9 26 1500 600 41.98 -77.57 384.5824938825439 608
1983 9 26 1500 600 42.88 -78.03 703.1953425869665 612
1983 9 26 1500 600 43.03 -78.18 871.820509227932 614
1983 9 26 1500 600 43.92 -78.67 12.203203487983169 652
1983 9 26 1500 600 44.23 -78.37 1.6637101652638249 653
1983 9 26 1500 600 44.62 -79.53 0.0 654
1983 9 26 1500 600 41.02 -75.9 15.167764598346478 704
1983 9 26 1500 600 41.83 -75.87 159.58301901281274 706
1983 9 26 1500 600 42.45 -76.45 208.82176708692728 708
1983 9 26 1500 600 43.98 -77.22 90.92905429148658 752
1983 9 26 1500 600 44.68 -77.15 0.0 753
1983 9 26 1500 600 44.28 -77.78 2.887814675460767 754
1983 9 26 1500 600 39.93 -74.7 0.0 802
1983 9 26 1500 600 40.45 -74.8 0.0 803
1983 9 26 1500 600 40.9 -74.6 0.0 804
1983 9 26 1500 600 41.3 -74.67 3.4193449568728504 805
1983 9 26 1500 600 41.63 -74.8 17.351309151434958 806
1983 9 26 1500 600 42.08 -74.97 42.72412351320989 807
1983 9 26 1500 600 42.47 -75.07 43.314009988337126 808
1983 9 26 1500 600 43.23 -75.4 23.3222748870477 810
1983 9 26 1500 600 43.58 -75.52 2.672279533035147 811
1983 9 26 1500 600 44.0 -76.02 22.188164564030277 812
1983 9 26 1500 600 44.48 -76.03 3.2385142806713407 852
1983 9 26 1500 600 40.67 -73.52 0.0 902
1983 9 26 1500 600 43.05 -74.2 7.036778447830293 908
1983 9 26 1500 600 44.8 -75.0 0.0 912
1983 9 26 1500 600 45.55 -75.52 0.0 952
1983 9 26 1800 600 40.2 -78.25 0.0 502
1983 9 26 1800 600 43.07 -76.83 879.9362254990939 710
1983 9 26 2100 600 40.0 -79.08 0.0 402
1983 9 26 2100 600 40.43 -79.15 1.0670612634417456 404
1983 9 26 2100 600 40.82 -79.53 9.353539921383067 406
1983 9 26 2100 600 41.2 -79.43 36.36474348591515 408
1983 9 26 2100 600 41.63 -79.7 157.03004465180962 410
1983 9 26 2100 600 42.08 -80.18 16.988221375514204 412
1983 9 26 2100 600 42.6 -80.5 0.0 452
1983 9 26 2100 600 42.67 -81.15 0.0 454
1983 9 26 2100 600 42.7 -82.35 0.0 456
1983 9 26 2100 600 40.67 -78.23 11.852455603106742 504
1983 9 26 2100 600 41.8 -78.63 335.35228035119866 508
1983 9 26 2100 600 42.25 -78.8 306.73929125240096 510
1983 9 26 2100 600 42.48 -78.93 62.62650130198181 512
1983 9 26 2100 600 43.18 -79.4 0.0 552
1983 9 26 2100 600 43.52 -79.92 0.0 554
1983 9 26 2100 600 43.98 -80.75 0.0 556
1983 9 26 2100 600 39.92 -76.75 0.0 602
1983 9 26 2100 600 40.48 -77.13 0.0 604
1983 9 26 2100 600 41.98 -77.57 1656.045049213668 608
1983 9 26 2100 600 42.88 -78.03 510.14553614303117 612
1983 9 26 2100 600 43.03 -78.18 284.4724406448119 614
1983 9 26 2100 600 43.92 -78.67 1.4674647575407467 652
1983 9 26 2100 600 44.23 -78.37 2.5708603505217953 653
1983 9 26 2100 600 44.62 -79.53 0.0 654
1983 9 26 2100 600 40.37 -75.93 0.0 702
1983 9 26 2100 600 40.78 -74.67 0.0 703
1983 9 26 2100 600 41.02 -75.9 17.41766490228738 704
1983 9 26 2100 600 41.83 -75.87 361.1528225380345 706
1983 9 26 2100 600 42.45 -76.45 1093.8833177029994 708
1983 9 26 2100 600 43.98 -77.22 383.74699510944816 752
1983 9 26 2100 600 44.28 -77.78 41.52765021044887 754
1983 9 26 2100 600 39.93 -74.7 0.0 802
1983 9 26 2100 600 40.45 -74.8 0.0 803
1983 9 26 2100 600 40.9 -74.6 0.0 804
1983 9 26 2100 600 41.3 -74.67 62.99880282530893 805
1983 9 26 2100 600 41.63 -74.8 32.288292057032564 806
1983 9 26 2100 600 42.08 -74.97 279.9733678046085 807
1983 9 26 2100 600 42.47 -75.07 375.65080191481366 808
1983 9 26 2100 600 43.23 -75.4 568.1008196615307 810
1983 9 26 2100 600 43.58 -75.52 351.4985000683813 811
1983 9 26 2100 600 44.0 -76.02 265.9764941922732 812
1983 9 26 2100 600 44.48 -76.03 203.66498163894133 852
1983 9 26 2100 600 40.67 -73.52 0.0 902
1983 9 26 2100 600 41.27 -73.8 2.305474804604041 904
1983 9 26 2100 600 43.05 -74.2 493.66059569233227 908
1983 9 26 2100 600 43.97 -74.1 12.364173807820814 910
1983 9 26 2100 600 44.8 -75.0 8.490058657625768 912
1983 9 26 2100 600 45.55 -75.52 0.0 952
1983 9 26 2100 600 41.1 -72.37 1.9041459564733456 2
1983 9 26 2100 600 43.03 -72.8 25.358232392896742 6
1983 9 26 2100 600 43.95 -73.22 5.391064595195889 8
1983 9 26 2100 600 44.9 -73.8 2.624140574041836 10
1983 9 27 0 600 40.2 -78.25 0.0 502
1983 9 27 0 600 43.07 -76.83 3459.8631570175294 710
1983 9 27 300 600 40.0 -79.08 0.0 402
1983 9 27 300 600 40.43 -79.15 0.0 404
1983 9 27 300 600 40.82 -79.53 0.0 406
1983 9 27 300 600 41.2 -79.43 2.854869305858065 408
1983 9 27 300 600 41.63 -79.7 13.75887701619632 410
1983 9 27 300 600 42.08 -80.18 12.585689327795233 412
1983 9 27 300 600 42.6 -80.5 1.9819408551846203 452
1983 9 27 300 600 42.67 -81.15 0.0 454
1983 9 27 300 600 42.7 -82.35 0.0 456
1983 9 27 300 600 40.67 -78.23 21.70975138520582 504
1983 9 27 300 600 41.8 -78.63 84.00035052128547 508
1983 9 27 300 600 42.25 -78.8 137.8265916786804 510
1983 9 27 300 600 42.48 -78.93 82.75458237455493 512
1983 9 27 300 600 43.18 -79.4 3.7815434723369417 552
1983 9 27 300 600 43.52 -79.92 0.0 554
1983 9 27 300 600 43.98 -80.75 0.0 556
1983 9 27 300 600 39.92 -76.75 0.0 602
1983 9 27 300 600 40.48 -77.13 62.59495699776129 604
1983 9 27 300 600 41.98 -77.57 879.9236046584537 608
1983 9 27 300 600 42.88 -78.03 274.6331476267335 612
1983 9 27 300 600 43.03 -78.18 177.13604411826307 614
1983 9 27 300 600 43.92 -78.67 0.0 652
1983 9 27 300 600 44.23 -78.37 0.0 653
1983 9 27 300 600 44.62 -79.53 0.0 654
1983 9 27 300 600 40.37 -75.93 14.634919734473058 702
1983 9 27 300 600 40.78 -74.67 97.98513983032316 703
1983 9 27 300 600 41.02 -75.9 211.38778549128767 704
1983 9 27 300 600 41.83 -75.87 586.5400485401178 706
1983 9 27 300 600 42.45 -76.45 2877.840811760324 708
1983 9 27 300 600 43.98 -77.22 126.28066545858104 752
1983 9 27 300 600 44.28 -77.78 3.288784658834109 754
1983 9 27 300 600 39.93 -74.7 5.473387216295737 802
1983 9 27 300 600 40.45 -74.8 24.73009373395581 803
1983 9 27 300 600 40.9 -74.6 157.94483078420728 804
1983 9 27 300 600 41.3 -74.67 387.74161224265254 805
1983 9 27 300 600 41.63 -74.8 316.8610696408585 806
1983 9 27 300 600 42.08 -74.97 166.27792293897187 807
1983 9 27 300 600 42.47 -75.07 226.90825607809356 808
1983 9 27 300 600 43.23 -75.4 1009.9371928679134 810
1983 9 27 300 600 43.58 -75.52 258.41076746168187 811
1983 9 27 300 600 44.48 -76.03 598.3504324249878 852
1983 9 27 300 600 40.67 -73.52 15.715003820105471 902
1983 9 27 300 600 41.27 -73.8 32.13363067678578 904
1983 9 27 300 600 43.05 -74.2 2266.2389087401793 908
1983 9 27 300 600 43.97 -74.1 320.5021926168967 910
1983 9 27 300 600 44.8 -75.0 640.3854293283662 912
1983 9 27 300 600 45.55 -75.52 111.81483384179111 952
1983 9 27 300 600 41.1 -72.37 89.21607269998454 2
1983 9 27 300 600 43.03 -72.8 18.08756506172143 6
1983 9 27 300 600 43.95 -73.22 436.3656990466172 8
1983 9 27 300 600 44.9 -73.8 480.39782425761456 10
1983 9 27 300 600 45.98 -74.0 23.956066902617195 52
1983 9 27 300 600 41.73 -71.43 62.92764007991231 102
1983 9 27 300 600 44.4 -71.18 5.187461608824923 107
1983 9 27 300 600 44.93 -72.2 3.2263584701983636 108
1983 9 27 300 600 46.07 -72.58 3.5712680043884095 152
1983 9 27 600 600 43.07 -76.83 1132.639701724996 710
1983 9 27 900 600 42.25 -78.8 0.0 510
1983 9 27 900 600 43.18 -79.4 1.5901658382881856 552
1983 9 27 900 600 39.92 -76.75 386.439598596122 602
1983 9 27 900 600 40.48 -77.13 710.0350304852594 604
1983 9 27 900 600 41.98 -77.57 162.57086571444745 608
1983 9 27 900 600 42.88 -78.03 53.10613224974308 612
1983 9 27 900 600 43.03 -78.18 41.95563161779942 614
1983 9 27 900 600 43.92 -78.67 0.0 652
1983 9 27 900 600 44.23 -78.37 0.0 653
1983 9 27 900 600 44.62 -79.53 0.0 654
1983 9 27 900 600 40.37 -75.93 637.3821589894687 702
1983 9 27 900 600 40.78 -74.67 913.427720247531 703
1983 9 27 900 600 41.02 -75.9 1075.6795587257004 704
1983 9 27 900 600 41.83 -75.87 1115.7243498946646 706
1983 9 27 900 600 42.45 -76.45 678.6912003524459 708
1983 9 27 900 600 43.98 -77.22 19.14771345900479 752
1983 9 27 900 600 44.28 -77.78 3.8097234045514647 754
1983 9 27 900 600 39.93 -74.7 205.56238848097342 802
1983 9 27 900 600 40.45 -74.8 679.1036542749033 803
1983 9 27 900 600 40.9 -74.6 929.0021525727134 804
1983 9 27 900 600 41.3 -74.67 785.6921946156252 805
1983 9 27 900 600 41.63 -74.8 619.566667587066 806
1983 9 27 900 600 42.08 -74.97 425.5739164196764 807
1983 9 27 900 600 42.47 -75.07 322.75351905701245 808
1983 9 27 900 600 43.23 -75.4 919.5586988269711 810
1983 9 27 900 600 43.58 -75.52 121.93344456567505 811
1983 9 27 900 600 44.48 -76.03 58.45779199501761 852
1983 9 27 900 600 40.67 -73.52 264.0502573667801 902
1983 9 27 900 600 41.27 -73.8 871.0691673967307 904
1983 9 27 900 600 43.05 -74.2 1343.1248561521934 908
1983 9 27 900 600 43.97 -74.1 249.63102353390974 910
1983 9 27 900 600 44.8 -75.0 231.97038234035585 912
1983 9 27 900 600 45.55 -75.52 21.554818132614013 952
1983 9 27 900 600 41.1 -72.37 332.8679502264561 2
1983 9 27 900 600 43.03 -72.8 381.7654454365159 6
1983 9 27 900 600 43.95 -73.22 1049.3956068786613 8
1983 9 27 900 600 44.9 -73.8 315.5669863140808 10
1983 9 27 900 600 45.98 -74.0 16.887347961741575 52
1983 9 27 900 600 41.73 -71.43 477.4110424147552 102
1983 9 27 900 600 44.4 -71.18 110.12218616950122 107
1983 9 27 900 600 44.93 -72.2 32.70279272671571 108
1983 9 27 900 600 46.07 -72.58 39.09156191567194 152
1983 9 27 1200 600 43.07 -76.83 47.489666424669046 710
1983 9 27 1500 600 42.25 -78.8 0.0 510
1983 9 27 1500 600 40.37 -75.93 301.02108898697117 702
1983 9 27 1500 600 40.78 -74.67 194.8133888989001 703
1983 9 27 1500 600 41.02 -75.9 101.94324912212602 704
1983 9 27 1500 600 41.83 -75.87 30.042200354409427 706
1983 9 27 1500 600 42.45 -76.45 14.661468039190911 708
1983 9 27 1500 600 43.98 -77.22 0.0 752
1983 9 27 1500 600 44.28 -77.78 0.0 754
1983 9 27 1500 600 39.93 -74.7 273.8895970046238 802
1983 9 27 1500 600 40.45 -74.8 406.8173131594831 803
1983 9 27 1500 600 40.9 -74.6 134.04764213114808 804
1983 9 27 1500 600 41.3 -74.67 73.11447704197037 805
1983 9 27 1500 600 41.63 -74.8 86.19824105804626 806
1983 9 27 1500 600 42.08 -74.97 64.11485662313633 807
1983 9 27 1500 600 42.47 -75.07 50.41383931547401 808
1983 9 27 1500 600 43.23 -75.4 9.624508077460643 810
1983 9 27 1500 600 43.58 -75.52 1.7936434051968113 811
1983 9 27 1500 600 44.48 -76.03 0.0 852
1983 9 27 1500 600 40.67 -73.52 391.34192241858926 902
1983 9 27 1500 600 41.27 -73.8 316.1981803413818 904
