Yr Mo Da Hr dur Lat Lon Calc Site
1983 10 2 2100 300 40.38 -80.63 0.0 306
1983 10 2 2100 300 40.77 -80.75 0.0 308
1983 10 2 2100 300 40.92 -81.43 0.0 310
1983 10 2 2100 300 41.3 -81.15 0.0 312
1983 10 2 2100 300 41.42 -81.87 0.0 314
1983 10 2 2100 300 41.3 -82.22 0.0 316
1983 10 2 2100 300 41.27 -82.62 0.0 318
1983 10 2 2100 300 41.33 -83.12 0.0 320
1983 10 2 2100 600 42.7 -82.35 0.0 456
1983 10 3 0 300 40.38 -80.63 0.0 306
1983 10 3 0 300 40.77 -80.75 0.0 308
1983 10 3 0 300 40.92 -81.43 0.0 310
1983 10 3 0 300 41.3 -81.15 0.0 312
1983 10 3 0 300 41.42 -81.87 0.0 314
1983 10 3 0 300 41.3 -82.22 0.0 316
1983 10 3 0 300 41.27 -82.62 2.279125334929528 318
1983 10 3 0 300 41.33 -83.12 900.6398429112168 320
1983 10 3 0 600 40.0 -79.08 0.0 402
1983 10 3 0 600 40.43 -79.15 0.0 404
1983 10 3 0 600 40.82 -79.53 0.0 406
1983 10 3 0 600 41.2 -79.43 0.0 408
1983 10 3 0 600 41.63 -79.7 0.0 410
1983 10 3 0 600 42.08 -80.18 0.0 412
1983 10 3 0 600 42.6 -80.5 0.0 452
1983 10 3 0 600 42.67 -81.15 0.0 454
1983 10 3 0 600 40.2 -78.25 0.0 502
1983 10 3 0 600 40.67 -78.23 0.0 504
1983 10 3 0 600 41.8 -78.63 0.0 508
1983 10 3 0 600 42.25 -78.8 0.0 510
1983 10 3 0 600 42.48 -78.93 0.0 512
1983 10 3 0 600 43.18 -79.4 0.0 552
1983 10 3 0 600 43.98 -80.75 0.0 556
1983 10 3 300 300 40.38 -80.63 0.0 306
1983 10 3 300 300 40.77 -80.75 0.0 308
1983 10 3 300 300 40.92 -81.43 6.872580892936736 310
1983 10 3 300 300 41.3 -81.15 20.32401938997547 312
1983 10 3 300 300 41.42 -81.87 1448.2571522242458 314
1983 10 3 300 300 41.3 -82.22 2126.4098722724043 316
1983 10 3 300 300 41.27 -82.62 4494.491118344317 318
1983 10 3 300 300 41.33 -83.12 19937.79022125873 320
1983 10 3 300 600 42.7 -82.35 737.9228072840493 456
1983 10 3 300 600 45.98 -74.0 0.0 52
1983 10 3 600 300 40.38 -80.63 13.11076167976276 306
1983 10 3 600 300 40.77 -80.75 34.31223319007731 308
1983 10 3 600 300 40.92 -81.43 61.695153498029654 310
1983 10 3 600 300 41.3 -81.15 262.9179284747988 312
1983 10 3 600 300 41.42 -81.87 1860.8898468202938 314
1983 10 3 600 300 41.3 -82.22 972.4602054472964 316
1983 10 3 600 300 41.27 -82.62 593.6719944730903 318
1983 10 3 600 300 41.33 -83.12 629.2121312503236 320
1983 10 3 600 600 40.0 -79.08 2.9736297177930826 402
1983 10 3 600 600 40.43 -79.15 3.5377012598547886 404
1983 10 3 600 600 40.82 -79.53 13.110641836449567 406
1983 10 3 600 600 41.2 -79.43 18.56854968938035 408
1983 10 3 600 600 41.63 -79.7 41.67578202948016 410
1983 10 3 600 600 42.08 -80.18 517.9522413679736 412
1983 10 3 600 600 42.6 -80.5 576.8572963148142 452
1983 10 3 600 600 42.67 -81.15 400.50334708605794 454
1983 10 3 600 600 40.2 -78.25 0.0 502
1983 10 3 600 600 40.67 -78.23 0.0 504
1983 10 3 600 600 41.8 -78.63 13.6779624959576 508
1983 10 3 600 600 42.25 -78.8 61.99752741830724 510
1983 10 3 600 600 42.48 -78.93 75.61122800585414 512
1983 10 3 600 600 43.18 -79.4 94.84815769000676 552
1983 10 3 600 600 43.98 -80.75 0.0 556
1983 10 3 600 600 39.92 -76.75 0.0 602
1983 10 3 600 600 40.48 -77.13 0.0 604
1983 10 3 600 600 41.25 -76.92 0.0 606
1983 10 3 600 600 41.98 -77.57 0.0 608
1983 10 3 600 600 42.88 -78.03 0.0 612
1983 10 3 600 600 43.03 -78.18 0.0 614
1983 10 3 600 600 44.23 -78.37 0.0 653
1983 10 3 600 600 44.62 -79.53 0.0 654
1983 10 3 600 600 40.37 -75.93 0.0 702
1983 10 3 600 600 41.02 -75.9 0.0 704
1983 10 3 600 600 41.83 -75.87 0.0 706
1983 10 3 600 600 42.45 -76.45 0.0 708
1983 10 3 600 600 43.98 -77.22 0.0 752
1983 10 3 600 600 44.68 -77.15 0.0 753
1983 10 3 600 600 44.28 -77.78 0.0 754
1983 10 3 900 300 40.38 -80.63 1.641338909672583 306
1983 10 3 900 300 40.77 -80.75 2.679198789942046 308
1983 10 3 900 300 40.92 -81.43 0.0 310
1983 10 3 900 300 41.3 -81.15 11.331137563364159 312
1983 10 3 900 300 41.42 -81.87 0.0 314
1983 10 3 900 300 41.3 -82.22 0.0 316
1983 10 3 900 300 41.27 -82.62 0.0 318
1983 10 3 900 300 41.33 -83.12 0.0 320
1983 10 3 900 600 42.7 -82.35 2831.591058368737 456
1983 10 3 900 600 45.98 -74.0 0.0 52
1983 10 3 1200 300 40.38 -80.63 12.066883133113278 306
1983 10 3 1200 300 40.77 -80.75 1.0376787031450716 308
1983 10 3 1200 300 40.92 -81.43 0.0 310
1983 10 3 1200 300 41.3 -81.15 0.0 312
1983 10 3 1200 300 41.42 -81.87 0.0 314
1983 10 3 1200 300 41.3 -82.22 0.0 316
1983 10 3 1200 300 41.27 -82.62 0.0 318
1983 10 3 1200 300 41.33 -83.12 0.0 320
1983 10 3 1200 600 40.0 -79.08 76.87859422823233 402
1983 10 3 1200 600 40.43 -79.15 56.09662203511145 404
1983 10 3 1200 600 40.82 -79.53 77.20757840472993 406
1983 10 3 1200 600 41.2 -79.43 68.59838287545271 408
1983 10 3 1200 600 41.63 -79.7 20.384598346507175 410
1983 10 3 1200 600 42.08 -80.18 19.378504593338523 412
1983 10 3 1200 600 42.6 -80.5 69.42411197948189 452
1983 10 3 1200 600 42.67 -81.15 143.07988068711578 454
1983 10 3 1200 600 40.2 -78.25 338.19760851797975 502
1983 10 3 1200 600 40.67 -78.23 187.91934689585545 504
1983 10 3 1200 600 41.8 -78.63 246.36449627604193 508
1983 10 3 1200 600 42.25 -78.8 265.09428748169523 510
1983 10 3 1200 600 42.48 -78.93 262.9630785096068 512
1983 10 3 1200 600 43.18 -79.4 667.3502499808176 552
1983 10 3 1200 600 39.92 -76.75 4.368468872869927 602
1983 10 3 1200 600 40.48 -77.13 168.1399700531738 604
1983 10 3 1200 600 41.98 -77.57 422.9133288344861 608
1983 10 3 1200 600 42.88 -78.03 310.1177228573841 612
1983 10 3 1200 600 43.03 -78.18 232.68991081356472 614
1983 10 3 1200 600 43.92 -78.67 393.65059932604737 652
1983 10 3 1200 600 44.23 -78.37 398.310995869813 653
1983 10 3 1200 600 44.62 -79.53 176.61898972752016 654
1983 10 3 1200 600 40.37 -75.93 1.0903482514744125 702
1983 10 3 1200 600 40.78 -74.67 0.0 703
1983 10 3 1200 600 41.02 -75.9 9.883993117944874 704
1983 10 3 1200 600 41.83 -75.87 48.16987648348219 706
1983 10 3 1200 600 42.45 -76.45 272.2215438689124 708
1983 10 3 1200 600 43.07 -76.83 209.86977670729516 710
1983 10 3 1200 600 43.98 -77.22 126.22599731828527 752
1983 10 3 1200 600 44.68 -77.15 110.43347193092025 753
1983 10 3 1200 600 44.28 -77.78 303.8531277228089 754
1983 10 3 1200 600 39.93 -74.7 0.0 802
1983 10 3 1200 600 40.9 -74.6 0.0 804
1983 10 3 1200 600 41.3 -74.67 0.0 805
1983 10 3 1200 600 42.08 -74.97 0.0 807
1983 10 3 1200 600 42.47 -75.07 0.0 808
1983 10 3 1200 600 42.92 -75.12 0.0 809
1983 10 3 1200 600 43.23 -75.4 3.1930401776730224 810
1983 10 3 1200 600 43.58 -75.52 2.0162677127146993 811
1983 10 3 1200 600 44.48 -76.03 21.24157798022659 852
1983 10 3 1200 600 40.67 -73.52 0.0 902
1983 10 3 1200 600 41.27 -73.8 0.0 904
1983 10 3 1200 600 43.05 -74.2 0.0 908
