Yr Mo Da Hr dur Lat Lon new Site
1983 10 14 1800 300 40.38 -80.63 0.0 306
1983 10 14 1800 300 40.77 -80.75 0.0 308
1983 10 14 1800 300 40.92 -81.43 0.0 310
1983 10 14 1800 300 41.3 -81.15 0.0 312
1983 10 14 1800 300 41.42 -81.87 0.0 314
1983 10 14 1800 300 41.27 -82.62 0.0 318
1983 10 14 1800 300 41.33 -83.12 0.0 320
1983 10 14 2100 300 40.38 -80.63 610.038111545071 306
1983 10 14 2100 300 40.92 -81.43 1149.438319084047 310
1983 10 14 2100 300 41.42 -81.87 0.0 314
1983 10 14 2100 300 41.27 -82.62 0.0 318
1983 10 14 2100 300 41.33 -83.12 0.0 320
1983 10 14 2100 300 40.43 -79.15 0.0 404
1983 10 14 2100 300 40.82 -79.53 0.0 406
1983 10 14 2100 300 42.08 -80.18 0.0 412
1983 10 14 2100 300 42.67 -81.15 0.0 454
1983 10 14 2100 300 42.7 -82.35 0.0 456
1983 10 14 2100 300 40.78 -74.67 0.0 703
1983 10 14 2100 600 40.2 -78.25 38.337049493664914 502
1983 10 14 2100 600 40.67 -78.23 128.14295554120756 504
1983 10 14 2100 600 41.3 -78.48 23.37624621408524 506
1983 10 14 2100 600 41.8 -78.63 0.0 508
1983 10 14 2100 600 42.25 -78.8 0.0 510
1983 10 14 2100 600 42.48 -78.93 0.0 512
1983 10 14 2100 600 43.52 -79.92 0.0 554
1983 10 14 2100 600 43.98 -80.75 0.0 556
1983 10 14 2100 600 39.92 -76.75 0.0 602
1983 10 14 2100 600 40.48 -77.13 5.300601322213173 604
1983 10 14 2100 600 41.25 -76.92 0.0 606
1983 10 14 2100 600 41.98 -77.57 0.0 608
1983 10 14 2100 600 42.88 -78.03 0.0 612
1983 10 14 2100 600 43.03 -78.18 0.0 614
1983 10 14 2100 600 43.92 -78.67 0.0 652
1983 10 14 2100 600 44.62 -79.53 0.0 654
1983 10 14 2100 600 40.37 -75.93 0.0 702
1983 10 14 2100 600 42.45 -76.45 0.0 708
1983 10 14 2100 600 43.98 -77.22 0.0 752
1983 10 14 2100 600 44.28 -77.78 0.0 754
1983 10 14 2100 600 44.93 -78.72 0.0 756
1983 10 14 2100 600 39.93 -74.7 0.0 802
1983 10 14 2100 600 40.45 -74.8 0.0 803
1983 10 14 2100 600 40.9 -74.6 0.0 804
1983 10 14 2100 600 41.3 -74.67 0.0 805
1983 10 14 2100 600 41.63 -74.8 0.0 806
1983 10 14 2100 600 40.67 -73.52 0.0 902
1983 10 14 2100 600 40.85 -73.97 0.0 903
1983 10 15 0 300 40.38 -80.63 1033.9970841176666 306
1983 10 15 0 300 40.77 -80.75 7151.151073639545 308
1983 10 15 0 300 40.92 -81.43 7388.775429452097 310
1983 10 15 0 300 41.3 -81.15 438.1552001829972 312
1983 10 15 0 300 41.42 -81.87 7.819800203692425 314
1983 10 15 0 300 41.27 -82.62 0.0 318
1983 10 15 0 300 41.33 -83.12 0.0 320
1983 10 15 0 300 40.43 -79.15 57.353280834451255 404
1983 10 15 0 300 40.82 -79.53 261.54966324601673 406
1983 10 15 0 300 42.08 -80.18 0.0 412
1983 10 15 0 300 42.67 -81.15 0.0 454
1983 10 15 0 300 42.7 -82.35 0.0 456
1983 10 15 0 300 40.78 -74.67 0.0 703
1983 10 15 300 300 40.38 -80.63 225.50570595106262 306
1983 10 15 300 300 40.77 -80.75 5955.193212431917 308
1983 10 15 300 300 40.92 -81.43 5511.851239387864 310
1983 10 15 300 300 41.3 -81.15 1517.1473916820341 312
1983 10 15 300 300 41.42 -81.87 60.86985222951533 314
1983 10 15 300 300 41.27 -82.62 6.235121587392131 318
1983 10 15 300 300 41.33 -83.12 0.0 320
1983 10 15 300 300 40.43 -79.15 94.35529332616763 404
1983 10 15 300 300 40.82 -79.53 637.2825231227828 406
1983 10 15 300 300 42.08 -80.18 3.038284625550148 412
1983 10 15 300 300 42.67 -81.15 0.0 454
1983 10 15 300 300 42.7 -82.35 0.0 456
1983 10 15 300 300 40.78 -74.67 0.0 703
1983 10 15 300 300 44.68 -77.15 0.0 753
1983 10 15 300 600 40.2 -78.25 10532.111115573722 502
1983 10 15 300 600 40.67 -78.23 7770.9210889639335 504
1983 10 15 300 600 41.3 -78.48 169.90242219604775 506
1983 10 15 300 600 41.8 -78.63 14.179559222312163 508
1983 10 15 300 600 42.25 -78.8 0.0 510
1983 10 15 300 600 42.48 -78.93 0.0 512
1983 10 15 300 600 43.52 -79.92 0.0 554
1983 10 15 300 600 43.98 -80.75 0.0 556
1983 10 15 300 600 39.92 -76.75 1174.0122748139868 602
1983 10 15 300 600 40.48 -77.13 6681.779034699429 604
1983 10 15 300 600 41.25 -76.92 1914.8793639822222 606
1983 10 15 300 600 41.98 -77.57 5.677363517281558 608
1983 10 15 300 600 42.88 -78.03 0.0 612
1983 10 15 300 600 43.03 -78.18 0.0 614
1983 10 15 300 600 43.92 -78.67 0.0 652
1983 10 15 300 600 40.37 -75.93 507.44366720613584 702
1983 10 15 300 600 42.45 -76.45 0.0 708
1983 10 15 300 600 43.98 -77.22 0.0 752
1983 10 15 300 600 44.28 -77.78 0.0 754
1983 10 15 300 600 44.93 -78.72 0.0 756
1983 10 15 300 600 39.93 -74.7 261.64975678035216 802
1983 10 15 300 600 40.45 -74.8 177.81495391896556 803
1983 10 15 300 600 40.9 -74.6 46.62585298827499 804
1983 10 15 300 600 41.3 -74.67 12.355719198299562 805
1983 10 15 300 600 41.63 -74.8 2.935770122106826 806
1983 10 15 300 600 42.92 -75.12 0.0 809
1983 10 15 300 600 43.23 -75.4 0.0 810
1983 10 15 300 600 43.58 -75.52 0.0 811
1983 10 15 300 600 40.67 -73.52 3.836752230112008 902
1983 10 15 300 600 40.85 -73.97 10.924976336401917 903
1983 10 15 300 600 43.05 -74.2 0.0 908
1983 10 15 300 600 43.97 -74.1 0.0 910
1983 10 15 300 600 44.8 -75.0 0.0 912
1983 10 15 300 600 45.55 -75.52 0.0 952
1983 10 15 300 600 41.1 -72.37 0.0 2
1983 10 15 300 600 41.95 -72.3 0.0 4
1983 10 15 300 600 41.73 -71.43 0.0 102
1983 10 15 300 600 42.7 -71.17 0.0 104
1983 10 15 600 300 40.38 -80.63 19.460212826705494 306
1983 10 15 600 300 40.77 -80.75 1695.0795107932795 308
1983 10 15 600 300 40.92 -81.43 1185.012868909462 310
1983 10 15 600 300 41.3 -81.15 1955.9563520232998 312
1983 10 15 600 300 41.42 -81.87 124.43741156117726 314
1983 10 15 600 300 41.27 -82.62 3.604131003597295 318
1983 10 15 600 300 41.33 -83.12 0.0 320
1983 10 15 600 300 40.43 -79.15 40.399898337328 404
1983 10 15 600 300 40.82 -79.53 290.91328404286577 406
1983 10 15 600 300 42.08 -80.18 12.30702890876195 412
1983 10 15 600 300 42.67 -81.15 0.0 454
1983 10 15 600 300 42.7 -82.35 0.0 456
1983 10 15 600 300 40.78 -74.67 164.66220609782803 703
1983 10 15 600 300 44.68 -77.15 0.0 753
1983 10 15 600 600 41.27 -73.8 10.884800176309291 904
1983 10 15 900 300 40.38 -80.63 1.4036579664134958 306
1983 10 15 900 300 40.77 -80.75 217.51685486959062 308
1983 10 15 900 300 40.92 -81.43 132.63454927226343 310
1983 10 15 900 300 41.3 -81.15 1036.7140111646813 312
1983 10 15 900 300 41.42 -81.87 112.86372444432584 314
1983 10 15 900 300 41.27 -82.62 2.1873205728617116 318
1983 10 15 900 300 41.33 -83.12 0.0 320
1983 10 15 900 300 40.43 -79.15 33.16513032635396 404
1983 10 15 900 300 40.82 -79.53 242.30438955082127 406
1983 10 15 900 300 42.08 -80.18 2.170233893132552 412
1983 10 15 900 300 42.67 -81.15 0.0 454
1983 10 15 900 300 42.7 -82.35 0.0 456
1983 10 15 900 300 40.78 -74.67 891.8974221482564 703
1983 10 15 900 300 44.68 -77.15 0.0 753
1983 10 15 900 600 40.2 -78.25 3287.911532783206 502
1983 10 15 900 600 40.67 -78.23 2740.118997366015 504
1983 10 15 900 600 41.3 -78.48 228.20207258769128 506
1983 10 15 900 600 41.8 -78.63 33.75976753565012 508
1983 10 15 900 600 42.25 -78.8 3.782249797517996 510
1983 10 15 900 600 42.48 -78.93 0.0 512
1983 10 15 900 600 43.52 -79.92 0.0 554
1983 10 15 900 600 43.98 -80.75 0.0 556
1983 10 15 900 600 39.92 -76.75 6948.25545454054 602
1983 10 15 900 600 41.25 -76.92 3121.424392847702 606
1983 10 15 900 600 41.98 -77.57 18.737204959226233 608
1983 10 15 900 600 42.88 -78.03 0.0 612
1983 10 15 900 600 43.03 -78.18 0.0 614
1983 10 15 900 600 43.92 -78.67 0.0 652
1983 10 15 900 600 40.37 -75.93 4538.194993498897 702
1983 10 15 900 600 42.45 -76.45 2.41971006046266 708
1983 10 15 900 600 43.98 -77.22 0.0 752
1983 10 15 900 600 44.28 -77.78 0.0 754
1983 10 15 900 600 44.93 -78.72 0.0 756
1983 10 15 900 600 39.93 -74.7 2008.4966307983104 802
1983 10 15 900 600 40.45 -74.8 1193.1696087299417 803
1983 10 15 900 600 40.9 -74.6 303.280916694131 804
1983 10 15 900 600 41.3 -74.67 95.90721546004077 805
1983 10 15 900 600 41.63 -74.8 31.127649414312085 806
1983 10 15 900 600 42.92 -75.12 0.0 809
1983 10 15 900 600 43.23 -75.4 0.0 810
1983 10 15 900 600 43.58 -75.52 0.0 811
1983 10 15 900 600 40.67 -73.52 44.83358207094705 902
1983 10 15 900 600 40.85 -73.97 82.57484990223772 903
1983 10 15 900 600 43.05 -74.2 0.0 908
1983 10 15 900 600 43.97 -74.1 0.0 910
1983 10 15 900 600 44.8 -75.0 0.0 912
1983 10 15 900 600 45.55 -75.52 0.0 952
1983 10 15 900 600 41.1 -72.37 0.0 2
1983 10 15 900 600 41.95 -72.3 0.0 4
1983 10 15 900 600 43.03 -72.8 0.0 6
1983 10 15 900 600 44.9 -73.8 0.0 10
1983 10 15 900 600 45.98 -74.0 0.0 52
1983 10 15 900 600 41.73 -71.43 0.0 102
1983 10 15 900 600 42.7 -71.17 0.0 104
1983 10 15 900 600 44.27 -71.3 0.0 106
1983 10 15 900 600 44.93 -72.2 0.0 108
1983 10 15 1200 300 40.43 -79.15 103.2924363273206 404
1983 10 15 1200 300 40.82 -79.53 337.87537795270663 406
1983 10 15 1200 300 42.08 -80.18 3.1406606519050304 412
1983 10 15 1200 300 42.67 -81.15 0.0 454
1983 10 15 1200 300 42.7 -82.35 0.0 456
1983 10 15 1200 300 40.78 -74.67 171.77132124994563 703
